booking_id,customer_id,cancellation_probability_pct,risk_level,priority,intervention_type,recommended_action,business_objective
UNKNOWN,UNKNOWN,50.96,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,49.12,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,51.27,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,51.91,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,55.88,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,49.63,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,51.85,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,47.77,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,55.92,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,53.59,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,56.32,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,47.12,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,49.36,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,48.21,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,40.66,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,50.01,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,49.29,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,44.24,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,48.76,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,47.86,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,47.7,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,50.1,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,47.95,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,50.94,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,51.42,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,52.17,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,48.92,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,46.76,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,48.3,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,45.74,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,50.37,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,46.7,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,46.07,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,51.98,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,51.86,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,45.85,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,51.37,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,49.5,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,49.28,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,50.41,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,48.77,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,53.94,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,50.11,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,54.98,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,48.03,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,53.64,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,51.99,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,52.02,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,54.24,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,49.83,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,48.48,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,51.95,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,57.79,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,53.9,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,50.71,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,48.55,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,58.23,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,49.79,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,53.83,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,45.25,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,52.81,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,46.29,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,50.42,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,50.68,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,52.77,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,51.23,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,49.09,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,49.1,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,49.03,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,53.25,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,43.41,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,50.5,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,48.99,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,53.32,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,52.48,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,49.14,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,45.44,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,50.63,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,48.86,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,47.48,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,49.77,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,47.78,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,50.43,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,53.19,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,56.63,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,58.89,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,48.97,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,47.28,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,54.81,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,56.11,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,46.88,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,52.75,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,51.68,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,51.55,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,52.12,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,49.28,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,45.46,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,54.09,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,46.28,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,52.66,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,51.83,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,51.1,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,54.04,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,51.93,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,52.46,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,51.32,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,50.73,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,52.82,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,50.68,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,49.04,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,50.67,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,44.13,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,54.03,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,48.5,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,50.55,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,49.1,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,53.2,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,42.38,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,49.35,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,57.48,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,53.08,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,53.37,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,51.93,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,49.73,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,43.87,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,49.14,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,51.56,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,44.37,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,54.34,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,47.51,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,49.5,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,54.34,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,46.56,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,47.69,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,51.81,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,47.81,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,44.55,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,54.4,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,47.64,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,54.31,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,54.42,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,46.4,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,50.06,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,54.66,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,53.77,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,46.42,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,49.05,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,43.28,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,54.97,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,48.71,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,51.34,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,45.64,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,52.8,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,49.99,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,47.2,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,51.41,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,48.72,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,44.97,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,50.75,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,47.36,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,51.19,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,45.68,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
UNKNOWN,UNKNOWN,52.58,MEDIUM,MEDIUM,Travel reminder,Send automated reminder closer to travel date.,Keep customer engaged and reduce avoidable cancellations.
