recommendation_type,entity_type,entity_id,priority,risk_level,probability,recommendation,business_reason,booking_id,customer_id,cancellation_probability_pct,intervention_type,recommended_action,business_objective,customer_segment,route_name,source,destination,booking_count,seats_booked,total_revenue,forecast_demand,average_forecast_demand,priority_score
Customer Marketing,Customer,CUST04968,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04967,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST00002,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04853,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04880,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04879,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04868,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04867,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04866,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04900,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04896,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04895,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04894,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04893,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04892,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04890,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04889,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04887,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04884,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04800,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04824,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04823,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04819,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04817,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04816,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04849,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04846,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04839,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04838,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04863,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04862,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04861,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04857,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04855,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04854,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04773,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04772,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04769,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04768,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04767,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04799,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04798,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04797,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04795,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04791,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04785,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04815,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04809,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04807,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04804,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04802,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04729,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04723,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04748,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04747,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04745,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04744,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04739,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04736,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04763,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04759,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04758,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04757,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04749,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04782,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04781,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04774,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04682,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04681,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04678,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04672,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04666,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04695,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04692,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04691,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04688,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04686,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04685,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04710,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04706,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04702,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04732,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04731,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04621,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04620,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04616,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04615,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04648,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04644,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04641,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04635,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04633,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04632,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04664,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04662,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04659,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04658,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04657,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04650,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04575,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04572,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04571,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04566,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04595,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04594,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04591,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04590,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04587,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04584,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04600,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04630,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04627,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04625,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04623,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04622,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04503,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04532,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04522,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04520,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04517,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04548,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04545,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04539,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04535,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04562,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04558,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04554,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04553,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04552,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04551,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04577,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04470,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04468,HIGH,at risk,,Launch win-back campaign with personalized discounts.,Customer activity indicates potential churn risk.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04500,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
Customer Marketing,Customer,CUST04499,HIGH,champions,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,,,,,,,,,,3
