customer_id,seat_count,ticket_price,total_amount,payment_method,route_id,vehicle_type,total_seats,distance_km,base_fare,lead_time_days,booking_month,travel_month,booking_day_of_week,travel_day_of_week,booking_hour,travel_hour,price_per_seat,distance_category,is_cancelled
CUST04120,1,881.99,881.99,CARD,R022,BIKE,1,278,780.99,6,5,5,4,3,0,7,881.99,Medium,0
CUST01332,1,1265.67,1265.67,CARD,R016,BIKE,1,523,1357.24,27,7,8,3,2,0,21,1265.67,Long,0
CUST02272,3,964.97,2894.91,CASH,R008,CAB,4,284,827.65,18,9,9,4,1,0,21,964.9699999999999,Medium,0
CUST01288,2,699.22,1398.44,CASH,R014,CAB,4,201,589.52,35,4,5,2,2,0,10,699.22,Medium,0
CUST00432,4,1335.19,5340.76,CARD,R016,CAB,4,523,1357.24,54,4,6,5,3,0,22,1335.19,Long,0
CUST03660,1,1287.66,1287.66,CASH,R004,CAB,4,618,1342.88,60,6,8,6,3,0,13,1287.66,Very Long,0
CUST02128,1,907.84,907.84,CARD,R022,BUS,45,278,780.99,30,9,10,6,1,0,22,907.84,Medium,0
CUST02987,1,1254.21,1254.21,UPI,R018,BUS,50,448,1294.44,58,1,3,4,6,0,11,1254.21,Long,0
CUST00088,1,455.31,455.31,CASH,R029,BIKE,1,173,436.21,36,9,10,3,4,0,12,455.31,Medium,1
CUST02955,2,1185.51,2371.02,CARD,R018,BUS,50,448,1294.44,46,2,3,2,6,0,11,1185.51,Long,0
CUST00308,2,380.65,761.3,CASH,R030,BUS,40,112,391.56,52,5,7,2,5,0,7,380.65,Medium,0
CUST04449,1,1060.92,1060.92,NETBANKING,R005,BUS,40,389,1090.98,35,12,1,6,6,0,5,1060.92,Long,0
CUST04757,5,375.94,1879.7,CASH,R015,BUS,30,133,405.08,34,4,5,0,6,0,8,375.94,Medium,0
CUST00959,2,1226.33,2452.66,CARD,R004,BUS,40,618,1342.88,9,2,3,3,5,0,7,1226.33,Very Long,0
CUST00174,2,1781.88,3563.76,CARD,R011,BUS,30,531,1605.83,9,6,6,1,3,0,8,1781.88,Long,0
CUST03137,4,1590.34,6361.36,CASH,R026,CAB,5,546,1725.95,40,12,2,5,3,0,19,1590.34,Long,0
CUST02677,3,1394.27,4182.81,NETBANKING,R004,BUS,45,618,1342.88,6,4,4,4,3,0,20,1394.2700000000002,Very Long,0
CUST04221,1,1516.98,1516.98,UPI,R004,CAB,5,618,1342.88,2,2,2,1,3,0,13,1516.98,Very Long,0
CUST03568,3,1249.55,3748.65,CASH,R024,AUTO,3,544,1374.49,56,3,5,2,2,0,8,1249.55,Long,0
CUST00507,1,1174.15,1174.15,UPI,R020,BIKE,1,422,1269.64,6,1,1,3,2,0,8,1174.15,Long,0
CUST01617,3,977.36,2932.08,CASH,R025,CAB,5,329,1065.62,29,1,2,3,4,0,18,977.36,Long,0
CUST01555,1,871.4,871.4,NETBANKING,R022,BIKE,1,278,780.99,2,7,7,3,5,0,10,871.4,Medium,0
CUST03574,3,835.7,2507.1,NETBANKING,R009,AUTO,3,292,894.23,25,1,2,2,6,0,8,835.6999999999999,Medium,1
CUST02116,1,1357.5,1357.5,CASH,R024,BIKE,1,544,1374.49,49,1,2,4,4,0,17,1357.5,Long,0
CUST03277,2,681.2,1362.4,WALLET,R006,BUS,40,180,630.68,53,2,4,3,0,0,7,681.2,Medium,0
CUST01302,4,1434.15,5736.6,CARD,R016,CAB,5,523,1357.24,19,7,8,2,0,0,6,1434.15,Long,0
CUST00134,3,1237.66,3712.98,NETBANKING,R027,CAB,6,599,1178.25,12,12,12,5,3,0,21,1237.66,Long,0
CUST04425,4,971.97,3887.88,UPI,R025,BUS,40,329,1065.62,25,2,3,3,0,0,10,971.97,Long,0
CUST04696,1,875.31,875.31,NETBANKING,R028,BIKE,1,242,810.65,3,11,11,1,4,0,12,875.31,Medium,0
CUST00103,1,791.47,791.47,UPI,R010,AUTO,3,305,781.03,57,12,2,5,6,0,22,791.47,Long,0
CUST00794,1,658.59,658.59,CARD,R014,BIKE,1,201,589.52,24,3,4,2,5,0,22,658.59,Medium,0
CUST04366,2,366.81,733.62,CARD,R021,AUTO,3,110,343.17,26,1,2,3,1,0,10,366.81,Medium,0
CUST02934,2,1149.35,2298.7,NETBANKING,R005,AUTO,3,389,1090.98,52,7,9,4,0,0,21,1149.35,Long,0
CUST01958,1,835.81,835.81,CASH,R008,AUTO,3,284,827.65,43,12,1,6,0,0,21,835.81,Medium,1
CUST01661,3,995.59,2986.77,WALLET,R005,AUTO,3,389,1090.98,25,6,7,1,5,0,5,995.59,Long,0
CUST01088,2,1049.93,2099.86,CASH,R005,AUTO,3,389,1090.98,4,7,7,1,5,0,5,1049.93,Long,0
CUST04587,1,638.71,638.71,UPI,R017,BIKE,1,322,615.32,36,4,5,4,5,0,8,638.71,Long,0
CUST00972,2,379.86,759.72,UPI,R015,CAB,5,133,405.08,50,1,2,4,5,0,5,379.86,Medium,0
CUST03472,1,713.51,713.51,CASH,R017,CAB,6,322,615.32,60,8,10,3,0,0,10,713.51,Long,0
CUST04929,5,475.94,2379.7,NETBANKING,R013,BUS,50,147,405.2,8,6,6,1,2,0,9,475.93999999999994,Medium,0
CUST04011,1,706.35,706.35,CARD,R006,BIKE,1,180,630.68,41,1,3,4,3,0,13,706.35,Medium,0
CUST04420,4,850.8,3403.2,CASH,R028,CAB,5,242,810.65,36,9,10,0,1,0,17,850.8,Medium,1
CUST02389,2,703.49,1406.98,UPI,R006,AUTO,3,180,630.68,13,7,7,5,4,0,10,703.49,Medium,0
CUST01401,3,1926.33,5778.99,CARD,R007,BUS,30,636,1980.46,26,3,4,2,0,0,12,1926.33,Very Long,0
CUST00341,4,1405.4,5621.6,CARD,R018,BUS,40,448,1294.44,45,4,6,5,1,0,22,1405.4,Long,0
CUST04254,3,846.1,2538.3,CARD,R008,CAB,6,284,827.65,34,3,5,0,6,0,5,846.1,Medium,0
CUST00485,4,880.13,3520.52,CASH,R022,BUS,30,278,780.99,57,7,9,2,3,0,21,880.13,Medium,0
CUST03366,2,319.57,639.14,NETBANKING,R021,CAB,4,110,343.17,28,7,7,2,2,0,15,319.57,Medium,0
CUST00085,4,470.72,1882.88,NETBANKING,R015,CAB,6,133,405.08,6,10,10,4,3,0,20,470.72,Medium,1
CUST03509,4,597.25,2389.0,NETBANKING,R006,CAB,4,180,630.68,41,3,4,5,4,0,15,597.25,Medium,1
CUST02856,3,469.85,1409.55,WALLET,R015,BUS,30,133,405.08,49,10,12,4,4,0,8,469.84999999999997,Medium,0
CUST02178,2,452.21,904.42,CASH,R015,BUS,30,133,405.08,51,10,12,2,4,0,8,452.21,Medium,0
CUST02793,2,817.84,1635.68,UPI,R008,CAB,6,284,827.65,44,6,7,6,1,0,22,817.84,Medium,0
CUST03852,1,613.66,613.66,NETBANKING,R014,CAB,5,201,589.52,43,9,11,6,0,0,22,613.66,Medium,0
CUST02260,2,459.72,919.44,CASH,R029,AUTO,3,173,436.21,56,1,3,3,3,0,9,459.72,Medium,0
CUST02238,1,1011.92,1011.92,NETBANKING,R009,BUS,50,292,894.23,33,1,2,0,5,0,14,1011.92,Medium,0
CUST01167,1,432.15,432.15,CARD,R015,BIKE,1,133,405.08,16,7,7,2,4,0,13,432.15,Medium,0
CUST03783,3,614.99,1844.97,WALLET,R017,BUS,50,322,615.32,54,2,4,2,0,0,10,614.99,Long,0
CUST04886,1,501.43,501.43,NETBANKING,R029,BIKE,1,173,436.21,40,6,7,2,0,0,10,501.43,Medium,0
CUST04471,2,433.08,866.16,NETBANKING,R030,AUTO,3,112,391.56,3,1,1,2,5,0,13,433.08,Medium,0
CUST03052,2,2326.93,4653.86,NETBANKING,R007,CAB,5,636,1980.46,16,6,6,3,5,0,5,2326.93,Very Long,0
CUST01456,5,1151.52,5757.6,UPI,R027,BUS,50,599,1178.25,13,1,1,2,1,0,15,1151.52,Long,0
CUST03909,2,1533.58,3067.16,UPI,R004,BUS,40,618,1342.88,26,2,3,0,5,0,7,1533.58,Very Long,0
CUST00724,4,1154.11,4616.44,UPI,R005,CAB,4,389,1090.98,7,7,7,3,3,0,20,1154.11,Long,0
CUST01485,1,1161.08,1161.08,CARD,R020,BIKE,1,422,1269.64,35,9,10,4,4,0,8,1161.08,Long,0
CUST01772,1,475.15,475.15,CARD,R029,BUS,45,173,436.21,38,7,8,3,6,0,20,475.15,Medium,0
CUST00124,2,1041.31,2082.62,UPI,R019,AUTO,3,332,952.53,9,11,12,1,3,0,20,1041.31,Long,0
CUST02920,1,798.17,798.17,UPI,R022,BIKE,1,278,780.99,57,3,5,2,3,0,7,798.17,Medium,0
CUST04841,5,933.93,4669.65,NETBANKING,R008,BUS,50,284,827.65,6,8,8,0,6,0,14,933.93,Medium,0
CUST02030,1,1344.29,1344.29,WALLET,R018,AUTO,3,448,1294.44,25,5,6,2,6,0,19,1344.29,Long,0
CUST03919,1,393.99,393.99,UPI,R029,CAB,6,173,436.21,50,9,11,0,1,0,8,393.99,Medium,0
CUST03519,1,1478.71,1478.71,WALLET,R024,CAB,4,544,1374.49,52,9,10,5,1,0,8,1478.71,Long,0
CUST04875,3,776.64,2329.92,UPI,R008,AUTO,3,284,827.65,8,10,10,3,4,0,16,776.64,Medium,0
CUST03929,4,1374.7,5498.8,WALLET,R024,BUS,50,544,1374.49,16,8,9,4,6,0,21,1374.7,Long,0
CUST02615,1,1065.67,1065.67,CASH,R019,BIKE,1,332,952.53,17,9,9,0,3,0,16,1065.67,Long,1
CUST02329,4,1182.99,4731.96,CARD,R002,CAB,5,370,1006.8,8,1,1,6,0,0,9,1182.99,Long,1
CUST02461,3,438.67,1316.01,UPI,R015,CAB,6,133,405.08,26,9,10,5,3,0,20,438.67,Medium,0
CUST03421,3,1088.46,3265.38,CASH,R002,CAB,4,370,1006.8,5,6,6,0,5,0,20,1088.46,Long,0
CUST02168,5,799.34,3996.7,CARD,R028,BUS,45,242,810.65,41,3,4,5,4,0,21,799.3399999999999,Medium,0
CUST01726,4,1247.73,4990.92,UPI,R027,CAB,5,599,1178.25,15,6,6,6,0,0,9,1247.73,Long,0
CUST02058,2,456.51,913.02,CARD,R015,BUS,40,133,405.08,38,2,3,1,4,0,21,456.51,Medium,0
CUST00169,1,872.28,872.28,CASH,R022,BIKE,1,278,780.99,53,8,9,3,0,0,14,872.28,Medium,1
CUST02107,1,1001.83,1001.83,WALLET,R019,BIKE,1,332,952.53,39,9,10,0,4,0,17,1001.83,Long,0
CUST01434,1,1007.36,1007.36,UPI,R002,BIKE,1,370,1006.8,18,9,10,4,1,0,8,1007.36,Long,0
CUST02873,1,462.09,462.09,NETBANKING,R030,BIKE,1,112,391.56,17,8,9,6,2,0,8,462.09,Medium,0
CUST00903,4,1587.55,6350.2,NETBANKING,R004,CAB,4,618,1342.88,9,5,6,1,3,0,18,1587.55,Very Long,0
CUST01392,1,697.41,697.41,WALLET,R017,CAB,6,322,615.32,41,10,12,1,0,0,15,697.41,Long,0
CUST03811,4,416.79,1667.16,UPI,R013,BUS,50,147,405.2,60,3,5,1,5,0,13,416.79,Medium,0
CUST03864,1,1187.05,1187.05,UPI,R020,BUS,45,422,1269.64,34,5,6,6,5,0,10,1187.05,Long,0
CUST02194,1,1821.19,1821.19,UPI,R003,BIKE,1,537,1539.27,3,8,8,5,1,0,13,1821.19,Long,1
CUST01402,1,1373.23,1373.23,WALLET,R027,BIKE,1,599,1178.25,34,9,10,1,0,0,6,1373.23,Long,0
CUST04207,3,1487.82,4463.46,UPI,R011,AUTO,3,531,1605.83,57,10,12,5,6,0,9,1487.82,Long,1
CUST00254,2,988.55,1977.1,CARD,R009,BUS,30,292,894.23,25,6,6,2,6,0,8,988.55,Medium,0
CUST03440,2,1435.05,2870.1,NETBANKING,R020,BUS,40,422,1269.64,7,9,9,0,0,0,22,1435.05,Long,0
CUST01810,1,715.12,715.12,CASH,R010,BIKE,1,305,781.03,23,9,10,0,2,0,22,715.12,Long,0
CUST03054,4,434.09,1736.36,WALLET,R015,BUS,45,133,405.08,12,3,3,0,5,0,12,434.09,Medium,0
CUST02196,5,1886.89,9434.45,CARD,R026,BUS,30,546,1725.95,28,8,9,1,1,0,14,1886.89,Long,0
CUST03360,3,1253.29,3759.87,UPI,R020,BUS,40,422,1269.64,34,8,9,1,0,0,22,1253.29,Long,0
CUST02784,3,473.64,1420.92,CASH,R013,BUS,30,147,405.2,16,9,10,3,5,0,8,473.64000000000004,Medium,0
CUST03796,1,392.65,392.65,CASH,R030,AUTO,3,112,391.56,29,12,1,4,5,0,13,392.65,Medium,0
CUST01903,5,1293.32,6466.6,CARD,R024,BUS,50,544,1374.49,48,7,9,0,6,0,21,1293.3200000000002,Long,0
CUST03079,2,424.59,849.18,UPI,R030,AUTO,3,112,391.56,42,6,7,6,6,0,9,424.59,Medium,0
CUST04210,3,419.44,1258.32,CASH,R015,BUS,50,133,405.08,43,7,8,3,4,0,11,419.44,Medium,0
CUST03248,1,1362.04,1362.04,CASH,R018,BUS,45,448,1294.44,53,1,3,4,1,0,12,1362.04,Long,0
CUST00209,1,360.02,360.02,CASH,R030,BIKE,1,112,391.56,46,8,10,6,3,0,16,360.02,Medium,0
CUST02606,1,956.96,956.96,WALLET,R028,BIKE,1,242,810.65,12,11,11,6,4,0,12,956.96,Medium,0
CUST03153,1,839.51,839.51,CASH,R010,BIKE,1,305,781.03,17,9,10,6,2,0,22,839.51,Long,0
CUST04596,4,1137.67,4550.68,WALLET,R002,CAB,5,370,1006.8,46,11,1,3,0,0,9,1137.67,Long,0
CUST01700,3,1078.9,3236.7,CASH,R005,AUTO,3,389,1090.98,56,1,3,2,2,0,8,1078.8999999999999,Long,0
CUST04677,5,1324.12,6620.6,WALLET,R027,BUS,30,599,1178.25,49,10,12,0,0,0,20,1324.1200000000001,Long,0
CUST02548,3,411.59,1234.77,CASH,R029,CAB,6,173,436.21,6,11,11,2,1,0,8,411.59,Medium,0
CUST04155,5,1148.16,5740.8,UPI,R027,BUS,30,599,1178.25,25,4,5,1,5,0,9,1148.16,Long,0
CUST02554,1,1139.39,1139.39,CASH,R002,AUTO,3,370,1006.8,19,12,1,3,1,0,9,1139.39,Long,1
CUST02084,2,699.16,1398.32,UPI,R014,CAB,5,201,589.52,40,1,3,2,0,0,12,699.16,Medium,1
CUST01886,1,608.14,608.14,WALLET,R017,AUTO,3,322,615.32,12,2,2,2,0,0,16,608.14,Long,0
CUST01612,1,1641.71,1641.71,CASH,R011,CAB,6,531,1605.83,26,9,10,0,5,0,6,1641.71,Long,0
CUST01501,2,1759.43,3518.86,WALLET,R026,CAB,4,546,1725.95,31,1,2,2,5,0,8,1759.43,Long,0
CUST04370,1,1885.74,1885.74,CARD,R026,CAB,6,546,1725.95,58,7,8,2,4,0,11,1885.74,Long,0
CUST03905,5,1057.79,5288.95,CASH,R009,BUS,50,292,894.23,20,1,2,6,5,0,14,1057.79,Medium,0
CUST03567,1,1088.51,1088.51,NETBANKING,R005,AUTO,3,389,1090.98,39,7,9,0,4,0,20,1088.51,Long,0
CUST00796,1,967.98,967.98,CASH,R008,AUTO,3,284,827.65,42,12,1,0,0,0,21,967.98,Medium,0
CUST03082,1,678.41,678.41,UPI,R014,AUTO,3,201,589.52,49,11,12,1,1,0,21,678.41,Medium,0
CUST04380,2,1274.08,2548.16,UPI,R001,AUTO,3,384,1072.45,58,6,8,4,6,0,16,1274.08,Long,1
CUST02867,4,1360.5,5442.0,CARD,R016,CAB,4,523,1357.24,10,2,2,3,6,0,12,1360.5,Long,0
CUST04807,1,1026.02,1026.02,CARD,R019,BIKE,1,332,952.53,26,9,10,6,4,0,17,1026.02,Long,0
CUST02299,3,1259.59,3778.77,CASH,R016,CAB,4,523,1357.24,28,5,6,3,3,0,22,1259.59,Long,0
CUST00400,1,406.46,406.46,CARD,R015,BIKE,1,133,405.08,25,10,11,4,1,0,11,406.46,Medium,0
CUST02208,4,1972.11,7888.44,CARD,R026,CAB,5,546,1725.95,1,2,2,2,3,0,19,1972.11,Long,0
CUST01522,1,892.07,892.07,NETBANKING,R010,AUTO,3,305,781.03,50,7,8,4,5,0,22,892.07,Long,0
CUST02242,1,1546.48,1546.48,CARD,R024,BIKE,1,544,1374.49,60,6,8,4,1,0,8,1546.48,Long,0
CUST02466,1,1691.63,1691.63,CARD,R026,BIKE,1,546,1725.95,50,6,8,0,1,0,17,1691.63,Long,0
CUST03045,3,1238.6,3715.8,UPI,R001,BUS,45,384,1072.45,38,12,1,2,5,0,16,1238.6000000000001,Long,0
CUST00532,1,915.02,915.02,WALLET,R002,BIKE,1,370,1006.8,55,8,10,2,1,0,8,915.02,Long,0
CUST01825,1,755.31,755.31,CASH,R022,BIKE,1,278,780.99,49,4,5,3,3,0,7,755.31,Medium,0
CUST02758,1,370.66,370.66,WALLET,R021,BIKE,1,110,343.17,28,7,8,4,4,0,22,370.66,Medium,1
CUST01143,1,1552.72,1552.72,WALLET,R018,BIKE,1,448,1294.44,5,5,5,1,6,0,16,1552.72,Long,0
CUST03648,1,750.27,750.27,CARD,R010,BIKE,1,305,781.03,33,9,10,4,2,0,22,750.27,Long,0
CUST04022,1,1182.15,1182.15,UPI,R005,BIKE,1,389,1090.98,53,7,9,2,6,0,19,1182.15,Long,1
CUST00461,1,410.17,410.17,NETBANKING,R015,AUTO,3,133,405.08,4,5,5,5,2,0,7,410.17,Medium,0
CUST03962,1,1586.42,1586.42,NETBANKING,R011,BIKE,1,531,1605.83,6,2,2,6,5,0,10,1586.42,Long,0
CUST02784,1,405.63,405.63,CASH,R030,BIKE,1,112,391.56,4,4,4,4,1,0,15,405.63,Medium,0
CUST00536,1,1368.6,1368.6,WALLET,R027,BIKE,1,599,1178.25,13,10,10,1,0,0,6,1368.6,Long,1
CUST00345,1,998.34,998.34,NETBANKING,R005,AUTO,3,389,1090.98,41,6,7,6,5,0,5,998.34,Long,0
CUST04242,1,1228.36,1228.36,WALLET,R016,BIKE,1,523,1357.24,18,1,1,5,2,0,22,1228.36,Long,0
CUST03134,3,641.54,1924.62,WALLET,R006,CAB,6,180,630.68,39,2,3,2,6,0,9,641.54,Medium,0
CUST01051,2,1317.06,2634.12,WALLET,R027,CAB,5,599,1178.25,57,6,8,1,2,0,11,1317.06,Long,0
CUST00634,1,370.24,370.24,CASH,R021,AUTO,3,110,343.17,43,12,1,3,4,0,6,370.24,Medium,0
CUST04060,1,363.22,363.22,WALLET,R030,BIKE,1,112,391.56,52,7,9,6,2,0,8,363.22,Medium,1
CUST04834,4,1889.94,7559.76,CASH,R011,BUS,50,531,1605.83,60,1,3,1,5,0,7,1889.94,Long,0
CUST02012,1,666.59,666.59,WALLET,R014,CAB,4,201,589.52,45,3,5,6,2,0,10,666.59,Medium,0
CUST01865,3,1034.68,3104.04,CARD,R012,AUTO,3,370,938.58,60,5,7,5,2,0,20,1034.68,Long,0
CUST02541,1,967.33,967.33,CARD,R002,BIKE,1,370,1006.8,13,10,10,2,1,0,8,967.33,Long,0
CUST04332,2,1099.01,2198.02,CARD,R005,AUTO,3,389,1090.98,60,5,7,6,3,0,8,1099.01,Long,1
CUST04152,2,756.02,1512.04,UPI,R028,AUTO,3,242,810.65,23,6,7,3,5,0,21,756.02,Medium,0
CUST02510,1,419.41,419.41,CARD,R029,AUTO,3,173,436.21,30,8,9,4,6,0,20,419.41,Medium,0
CUST01140,1,361.64,361.64,WALLET,R030,AUTO,3,112,391.56,44,4,6,4,6,0,6,361.64,Medium,0
CUST00856,1,1327.29,1327.29,CASH,R024,BIKE,1,544,1374.49,8,2,2,3,4,0,17,1327.29,Long,0
CUST01398,3,1007.79,3023.37,CASH,R001,CAB,6,384,1072.45,43,6,8,5,6,0,18,1007.79,Long,0
CUST01295,1,1019.68,1019.68,WALLET,R002,BIKE,1,370,1006.8,23,9,10,6,1,0,8,1019.68,Long,0
CUST02091,5,1359.4,6797.0,UPI,R024,BUS,50,544,1374.49,5,9,9,1,6,0,21,1359.4,Long,0
CUST00755,1,1167.25,1167.25,CARD,R002,AUTO,3,370,1006.8,47,5,7,2,0,0,16,1167.25,Long,0
CUST04415,4,1059.8,4239.2,UPI,R001,BUS,45,384,1072.45,56,11,1,5,5,0,16,1059.8,Long,0
CUST02927,3,798.84,2396.52,WALLET,R028,CAB,4,242,810.65,28,11,12,5,5,0,18,798.84,Medium,0
CUST03919,3,1560.28,4680.84,CASH,R016,CAB,5,523,1357.24,14,7,8,0,0,0,6,1560.28,Long,0
CUST04578,2,2320.13,4640.26,WALLET,R007,CAB,4,636,1980.46,7,9,9,1,1,0,15,2320.13,Very Long,0
CUST04566,3,414.88,1244.64,UPI,R029,AUTO,3,173,436.21,43,6,7,1,2,0,15,414.88000000000005,Medium,0
CUST01896,1,1117.5,1117.5,WALLET,R027,BIKE,1,599,1178.25,54,12,2,2,0,0,5,1117.5,Long,0
CUST02831,5,1068.09,5340.45,CARD,R002,BUS,50,370,1006.8,58,4,6,0,2,0,13,1068.09,Long,0
CUST04801,5,1286.46,6432.3,CASH,R005,BUS,30,389,1090.98,17,12,1,3,6,0,16,1286.46,Long,0
CUST01275,3,689.38,2068.14,CASH,R017,BUS,45,322,615.32,35,3,4,0,0,0,19,689.38,Long,0
CUST04130,1,880.5,880.5,CARD,R010,AUTO,3,305,781.03,29,11,12,3,4,0,9,880.5,Long,1
CUST02880,5,1146.33,5731.65,CASH,R027,BUS,45,599,1178.25,56,8,10,6,6,0,11,1146.33,Long,0
CUST03559,5,1402.27,7011.35,UPI,R020,BUS,40,422,1269.64,12,8,9,2,0,0,22,1402.27,Long,0
CUST01822,1,1555.52,1555.52,UPI,R011,BIKE,1,531,1605.83,22,1,2,4,5,0,10,1555.52,Long,0
CUST04255,3,1154.58,3463.74,WALLET,R001,AUTO,3,384,1072.45,32,6,7,5,2,0,13,1154.58,Long,0
CUST00346,3,477.24,1431.72,WALLET,R015,AUTO,3,133,405.08,26,5,5,4,2,0,7,477.24,Medium,0
CUST03401,1,1639.23,1639.23,CARD,R011,CAB,6,531,1605.83,45,1,3,3,6,0,12,1639.23,Long,1
CUST00770,1,797.84,797.84,CARD,R010,BIKE,1,305,781.03,58,4,5,2,4,0,11,797.84,Long,0
CUST04879,1,835.53,835.53,CASH,R008,BUS,50,284,827.65,56,5,6,6,6,0,17,835.53,Medium,0
CUST04791,1,675.42,675.42,CARD,R017,CAB,6,322,615.32,10,10,10,4,0,0,10,675.42,Long,0
CUST00993,3,779.75,2339.25,WALLET,R010,BUS,30,305,781.03,41,8,9,4,3,0,8,779.75,Long,0
CUST02037,3,969.98,2909.94,WALLET,R001,BUS,45,384,1072.45,44,12,1,3,5,0,16,969.98,Long,0
CUST01749,1,1097.5,1097.5,CASH,R027,BIKE,1,599,1178.25,60,8,10,3,0,0,6,1097.5,Long,0
CUST04629,1,856.74,856.74,CARD,R028,CAB,5,242,810.65,10,11,11,6,2,0,20,856.74,Medium,0
CUST01505,2,826.17,1652.34,WALLET,R008,CAB,6,284,827.65,5,4,5,1,6,0,5,826.17,Medium,0
CUST00018,5,480.61,2403.05,CASH,R015,BUS,30,133,405.08,49,10,12,4,4,0,8,480.61,Medium,0
CUST03149,3,380.03,1140.09,CASH,R030,CAB,5,112,391.56,50,11,1,6,0,0,11,380.03,Medium,0
CUST04169,1,1002.42,1002.42,CARD,R023,BIKE,1,385,883.19,19,12,1,0,5,0,12,1002.42,Long,1
CUST02634,1,467.97,467.97,CASH,R015,AUTO,3,133,405.08,9,3,3,1,3,0,16,467.97,Medium,0
CUST00140,2,1170.79,2341.58,CASH,R025,CAB,4,329,1065.62,45,8,10,6,2,0,5,1170.79,Long,0
CUST03470,3,574.92,1724.76,CARD,R014,AUTO,3,201,589.52,46,11,12,4,1,0,21,574.92,Medium,0
CUST02788,3,1237.44,3712.32,CASH,R001,CAB,6,384,1072.45,20,7,8,0,6,0,18,1237.44,Long,0
CUST00759,1,1289.22,1289.22,WALLET,R027,AUTO,3,599,1178.25,41,12,1,1,0,0,6,1289.22,Long,0
CUST01492,5,1689.75,8448.75,UPI,R011,BUS,50,531,1605.83,41,2,3,6,5,0,7,1689.75,Long,0
CUST00726,1,856.36,856.36,CARD,R010,BIKE,1,305,781.03,45,8,10,6,2,0,22,856.36,Long,0
