route_id,route_name,source,destination,travel_season,bookings,tickets,revenue
R005,Bengaluru To Trichy,Bengaluru,Trichy,Summer,73,149,173139.12
R005,Bengaluru To Trichy,Bengaluru,Trichy,Autumn,73,176,199488.93
R003,Pondicherry To Erode,Pondicherry,Erode,Summer,73,175,277041.34
R009,Chennai To Vellore,Chennai,Vellore,Autumn,72,186,175136.65
R024,Madurai To Thanjavur,Madurai,Thanjavur,Summer,71,141,199951.21
R016,Pondicherry To Tirunelveli,Pondicherry,Tirunelveli,Autumn,69,160,225958.8
R027,Tirunelveli To Madurai,Tirunelveli,Madurai,Summer,67,215,267557.25
R024,Madurai To Thanjavur,Madurai,Thanjavur,Autumn,66,158,228345.49
R006,Trichy To Salem,Trichy,Salem,Monsoon,66,141,95079.29
R024,Madurai To Thanjavur,Madurai,Thanjavur,Winter,65,65,93156.93
R025,Vellore To Bengaluru,Vellore,Bengaluru,Summer,63,216,244216.76
R009,Chennai To Vellore,Chennai,Vellore,Summer,63,63,59638.41
R023,Erode To Bengaluru,Erode,Bengaluru,Autumn,63,203,187882.51
R007,Madurai To Erode,Madurai,Erode,Summer,62,164,340287.5
R012,Hyderabad To Pondicherry,Hyderabad,Pondicherry,Summer,62,143,138911.27
R022,Bengaluru To Chennai,Bengaluru,Chennai,Summer,59,59,48092.87
R018,Trichy To Erode,Trichy,Erode,Winter,58,109,147084.41
R007,Madurai To Erode,Madurai,Erode,Autumn,58,153,313985.49
R011,Bengaluru To Thanjavur,Bengaluru,Thanjavur,Autumn,58,153,264197.55
R021,Thanjavur To Trichy,Thanjavur,Trichy,Autumn,57,135,47927.95
R013,Hyderabad To Erode,Hyderabad,Erode,Autumn,57,163,70062.2
R003,Pondicherry To Erode,Pondicherry,Erode,Winter,52,52,83668.6
R022,Bengaluru To Chennai,Bengaluru,Chennai,Winter,48,150,121655.02
