trip_id,route_id,operator_id,vehicle_type,departure_datetime,arrival_datetime,total_seats,bookings,seats_sold,revenue,unique_customers,route_name,source,destination,distance_km,route,available_seats,occupancy_percentage,revenue_per_seat,occupancy_category
TRIP00034,R010,OP013,BUS,2026-09-24 08:00:00,2026-09-24 12:35:56.831900,30,61,177,147642.88,60,Hyderabad To Madurai,Hyderabad,Madurai,305,Hyderabad → Madurai,-147,100.0,834.1405649717515,Very High
TRIP00035,R025,OP003,CAB,2025-10-08 05:30:00,2025-10-08 11:21:42.325573,4,54,137,149983.43,53,Vellore To Bengaluru,Vellore,Bengaluru,329,Vellore → Bengaluru,-133,100.0,1094.7695620437955,Very High
TRIP00036,R017,OP008,AUTO,2025-02-24 16:15:00,2025-02-24 21:30:58.430223,3,65,116,75337.75,65,Coimbatore To Tirunelveli,Coimbatore,Tirunelveli,322,Coimbatore → Tirunelveli,-113,100.0,649.4633620689655,Very High
TRIP00037,R021,OP006,BUS,2026-01-17 07:30:00,2026-01-17 09:29:03.221036,45,64,180,64135.82,64,Thanjavur To Trichy,Thanjavur,Trichy,110,Thanjavur → Trichy,-135,100.0,356.3101111111111,Very High
TRIP00038,R018,OP008,AUTO,2025-02-05 08:30:00,2025-02-05 17:43:42.131423,3,45,89,119817.73,45,Trichy To Erode,Trichy,Erode,448,Trichy → Erode,-86,100.0,1346.2666292134832,Very High
TRIP00039,R011,OP007,AUTO,2025-07-29 08:00:00,2025-07-29 15:55:28.250232,3,61,119,198162.97,61,Bengaluru To Thanjavur,Bengaluru,Thanjavur,531,Bengaluru → Thanjavur,-116,100.0,1665.2350420168068,Very High
TRIP00040,R007,OP004,CAB,2025-06-28 05:00:00,2025-06-28 18:29:17.462280,5,55,149,315159.33,55,Madurai To Erode,Madurai,Erode,636,Madurai → Erode,-144,100.0,2115.163288590604,Very High
TRIP00041,R025,OP016,AUTO,2026-08-17 22:30:00,2026-08-18 04:51:26.217583,3,57,114,127659.39,57,Vellore To Bengaluru,Vellore,Bengaluru,329,Vellore → Bengaluru,-111,100.0,1119.8192105263158,Very High
TRIP00042,R029,OP009,AUTO,2025-03-06 09:15:00,2025-03-06 12:57:36.510878,3,40,86,39033.9,40,Chennai To Coimbatore,Chennai,Coimbatore,173,Chennai → Coimbatore,-83,100.0,453.8825581395349,Very High
TRIP00043,R021,OP002,AUTO,2025-01-31 06:45:00,2025-01-31 08:43:15.224422,3,72,146,51761.83,72,Thanjavur To Trichy,Thanjavur,Trichy,110,Thanjavur → Trichy,-143,100.0,354.5330821917808,Very High
TRIP00044,R008,OP019,BUS,2026-02-27 10:00:00,2026-02-27 14:46:46.612444,30,48,132,116494.85,48,Bengaluru To Erode,Bengaluru,Erode,284,Bengaluru → Erode,-102,100.0,882.5367424242424,Very High
TRIP00045,R017,OP005,BIKE,2025-10-15 14:45:00,2025-10-15 21:10:52.759616,1,64,64,42506.159999999996,64,Coimbatore To Tirunelveli,Coimbatore,Tirunelveli,322,Coimbatore → Tirunelveli,-63,100.0,664.1587499999999,Very High
TRIP00046,R030,OP002,AUTO,2025-01-25 13:15:00,2025-01-25 15:27:06.014036,3,59,118,48476.28,58,Thanjavur To Pondicherry,Thanjavur,Pondicherry,112,Thanjavur → Pondicherry,-115,100.0,410.8159322033898,Very High
TRIP00047,R025,OP002,AUTO,2025-01-02 06:45:00,2025-01-02 12:19:43.559440,3,48,91,100711.97,48,Vellore To Bengaluru,Vellore,Bengaluru,329,Vellore → Bengaluru,-88,100.0,1106.724945054945,Very High
TRIP00048,R005,OP016,BIKE,2025-08-26 06:30:00,2025-08-26 13:41:24.981208,1,50,50,56445.98,50,Bengaluru To Trichy,Bengaluru,Trichy,389,Bengaluru → Trichy,-49,100.0,1128.9196000000002,Very High
TRIP00049,R006,OP009,BIKE,2026-04-13 20:15:00,2026-04-13 23:33:46.741856,1,58,58,38242.54,58,Trichy To Salem,Trichy,Salem,180,Trichy → Salem,-57,100.0,659.3541379310345,Very High
TRIP00050,R014,OP012,BIKE,2026-07-19 22:15:00,2026-07-20 02:02:28.251341,1,55,55,34741.7,55,Coimbatore To Chennai,Coimbatore,Chennai,201,Coimbatore → Chennai,-54,100.0,631.6672727272727,Very High
TRIP00051,R011,OP011,BIKE,2026-02-21 10:45:00,2026-02-21 20:31:42.638431,1,65,65,111898.56,64,Bengaluru To Thanjavur,Bengaluru,Thanjavur,531,Bengaluru → Thanjavur,-64,100.0,1721.5163076923077,Very High
TRIP00052,R010,OP009,AUTO,2025-10-27 09:45:00,2025-10-27 14:40:40.360395,3,49,104,84655.55,49,Hyderabad To Madurai,Hyderabad,Madurai,305,Hyderabad → Madurai,-101,100.0,813.9956730769231,Very High
TRIP00053,R008,OP010,CAB,2026-01-04 18:00:00,2026-01-04 22:43:44.735232,5,51,122,106556.43,51,Bengaluru To Erode,Bengaluru,Erode,284,Bengaluru → Erode,-117,100.0,873.4133606557376,Very High
TRIP00054,R027,OP003,CAB,2026-01-03 19:45:00,2026-01-04 05:07:56.828925,4,61,146,182292.89,61,Tirunelveli To Madurai,Tirunelveli,Madurai,599,Tirunelveli → Madurai,-142,100.0,1248.5814383561644,Very High
TRIP00055,R027,OP015,CAB,2025-12-18 21:15:00,2025-12-19 07:14:18.090695,6,58,135,164277.95,58,Tirunelveli To Madurai,Tirunelveli,Madurai,599,Tirunelveli → Madurai,-129,100.0,1216.8737037037038,Very High
TRIP00056,R011,OP006,AUTO,2025-05-23 11:45:00,2025-05-23 23:02:14.658361,3,70,141,240686.72,69,Bengaluru To Thanjavur,Bengaluru,Thanjavur,531,Bengaluru → Thanjavur,-138,100.0,1706.998014184397,Very High
TRIP00057,R028,OP017,BUS,2025-04-25 21:00:00,2025-04-26 01:10:23.481650,45,48,131,111955.41,48,Bengaluru To Coimbatore,Bengaluru,Coimbatore,242,Bengaluru → Coimbatore,-86,100.0,854.6214503816794,Very High
TRIP00058,R022,OP018,BIKE,2026-07-18 10:15:00,2026-07-18 14:43:35.872675,1,50,50,40969.81,50,Bengaluru To Chennai,Bengaluru,Chennai,278,Bengaluru → Chennai,-49,100.0,819.3961999999999,Very High
TRIP00059,R017,OP001,BIKE,2026-05-16 08:30:00,2026-05-16 13:35:13.847169,1,55,55,36234.67,55,Coimbatore To Tirunelveli,Coimbatore,Tirunelveli,322,Coimbatore → Tirunelveli,-54,100.0,658.8121818181818,Very High
TRIP00060,R024,OP020,BIKE,2026-07-16 17:45:00,2026-07-17 04:31:38.033162,1,51,51,73686.38,51,Madurai To Thanjavur,Madurai,Thanjavur,544,Madurai → Thanjavur,-50,100.0,1444.830980392157,Very High
TRIP00061,R009,OP010,AUTO,2026-02-22 08:15:00,2026-02-22 13:02:09.472702,3,55,111,103874.02,55,Chennai To Vellore,Chennai,Vellore,292,Chennai → Vellore,-108,100.0,935.8019819819821,Very High
TRIP00062,R015,OP020,BUS,2025-06-09 11:00:00,2025-06-09 12:58:31.286605,50,40,119,49970.88,40,Tirunelveli To Coimbatore,Tirunelveli,Coimbatore,133,Tirunelveli → Coimbatore,-69,100.0,419.9233613445378,Very High
TRIP00063,R015,OP001,AUTO,2025-05-28 07:30:00,2025-05-28 10:06:19.805655,3,57,118,50479.13,57,Tirunelveli To Coimbatore,Tirunelveli,Coimbatore,133,Tirunelveli → Coimbatore,-115,100.0,427.78923728813555,Very High
TRIP00064,R030,OP018,CAB,2025-11-07 11:00:00,2025-11-07 12:37:41.422343,4,56,141,58867.3,56,Thanjavur To Pondicherry,Thanjavur,Pondicherry,112,Thanjavur → Pondicherry,-137,100.0,417.4985815602837,Very High
TRIP00065,R023,OP016,CAB,2025-01-17 05:30:00,2025-01-17 13:30:58.834020,6,59,136,126867.19,57,Erode To Bengaluru,Erode,Bengaluru,385,Erode → Bengaluru,-130,100.0,932.8469852941176,Very High
TRIP00066,R011,OP013,BUS,2025-03-15 07:30:00,2025-03-15 16:55:44.784553,50,52,155,261750.35,52,Bengaluru To Thanjavur,Bengaluru,Thanjavur,531,Bengaluru → Thanjavur,-105,100.0,1688.711935483871,Very High
TRIP00067,R007,OP014,BIKE,2026-01-02 17:00:00,2026-01-03 03:11:05.594182,1,56,56,115775.28,56,Madurai To Erode,Madurai,Erode,636,Madurai → Erode,-55,100.0,2067.4157142857143,Very High
TRIP00068,R010,OP002,AUTO,2025-12-18 17:30:00,2025-12-18 23:34:27.626718,3,50,107,86190.95,50,Hyderabad To Madurai,Hyderabad,Madurai,305,Hyderabad → Madurai,-104,100.0,805.5228971962616,Very High
TRIP00069,R012,OP019,BUS,2026-09-27 20:00:00,2026-09-28 01:58:11.519327,50,55,158,157074.86,55,Hyderabad To Pondicherry,Hyderabad,Pondicherry,370,Hyderabad → Pondicherry,-108,100.0,994.1446835443037,Very High
TRIP00070,R028,OP006,AUTO,2025-11-24 16:00:00,2025-11-24 20:42:31.212237,3,47,98,84022.81,47,Bengaluru To Coimbatore,Bengaluru,Coimbatore,242,Bengaluru → Coimbatore,-95,100.0,857.375612244898,Very High
TRIP00071,R016,OP015,BIKE,2026-01-28 22:00:00,2026-01-29 07:24:43.089682,1,45,45,64110.42,45,Pondicherry To Tirunelveli,Pondicherry,Tirunelveli,523,Pondicherry → Tirunelveli,-44,100.0,1424.676,Very High
TRIP00072,R019,OP004,AUTO,2026-12-03 20:00:00,2026-12-04 02:05:30.604240,3,64,128,129256.26,62,Thanjavur To Hyderabad,Thanjavur,Hyderabad,332,Thanjavur → Hyderabad,-125,100.0,1009.81453125,Very High
TRIP00073,R002,OP011,BUS,2025-03-30 20:30:00,2025-03-31 02:48:52.945942,40,58,173,181198.36,58,Thanjavur To Coimbatore,Thanjavur,Coimbatore,370,Thanjavur → Coimbatore,-133,100.0,1047.3893641618497,Very High
TRIP00074,R020,OP019,BIKE,2026-10-09 08:45:00,2026-10-09 16:29:37.133240,1,63,63,84732.47,62,Trichy To Thanjavur,Trichy,Thanjavur,422,Trichy → Thanjavur,-62,100.0,1344.9598412698413,Very High
TRIP00075,R005,OP012,AUTO,2025-09-05 20:00:00,2025-09-06 03:19:46.888434,3,66,133,150726.01,66,Bengaluru To Trichy,Bengaluru,Trichy,389,Bengaluru → Trichy,-130,100.0,1133.2782706766918,Very High
TRIP00076,R001,OP003,CAB,2025-08-10 18:00:00,2025-08-11 02:29:05.315570,6,52,133,148007.45,52,Pondicherry To Chennai,Pondicherry,Chennai,384,Pondicherry → Chennai,-127,100.0,1112.8379699248121,Very High
TRIP00077,R016,OP014,CAB,2026-11-23 05:45:00,2026-11-23 16:56:33.197668,5,55,134,188503.28,53,Pondicherry To Tirunelveli,Pondicherry,Tirunelveli,523,Pondicherry → Tirunelveli,-129,100.0,1406.740895522388,Very High
TRIP00078,R019,OP012,BUS,2025-10-09 17:00:00,2025-10-09 23:28:04.580046,50,67,201,203086.26,67,Thanjavur To Hyderabad,Thanjavur,Hyderabad,332,Thanjavur → Hyderabad,-151,100.0,1010.3794029850746,Very High
TRIP00079,R007,OP006,BUS,2025-06-28 19:30:00,2025-06-29 05:05:13.698738,45,51,159,326487.99,51,Madurai To Erode,Madurai,Erode,636,Madurai → Erode,-114,100.0,2053.3835849056604,Very High
TRIP00080,R007,OP014,CAB,2026-09-08 15:45:00,2026-09-09 05:04:17.909379,4,46,114,233408.31,46,Madurai To Erode,Madurai,Erode,636,Madurai → Erode,-110,100.0,2047.4413157894737,Very High
TRIP00081,R012,OP017,AUTO,2025-07-23 20:45:00,2025-07-24 03:58:22.386890,3,55,120,117719.39,55,Hyderabad To Pondicherry,Hyderabad,Pondicherry,370,Hyderabad → Pondicherry,-117,100.0,980.9949166666667,Very High
TRIP00082,R010,OP014,CAB,2026-11-01 10:45:00,2026-11-01 17:21:59.406263,4,52,136,112284.72,51,Hyderabad To Madurai,Hyderabad,Madurai,305,Hyderabad → Madurai,-132,100.0,825.6229411764706,Very High
TRIP00083,R027,OP014,BUS,2025-12-15 20:15:00,2025-12-16 05:46:52.610793,30,65,210,261763.76,62,Tirunelveli To Madurai,Tirunelveli,Madurai,599,Tirunelveli → Madurai,-180,100.0,1246.4940952380953,Very High
TRIP00084,R013,OP007,BUS,2025-06-18 09:15:00,2025-06-18 11:33:52.689090,50,56,186,80750.07,56,Hyderabad To Erode,Hyderabad,Erode,147,Hyderabad → Erode,-136,100.0,434.1401612903226,Very High
TRIP00085,R018,OP002,BIKE,2026-05-24 16:45:00,2026-05-25 02:35:35.686588,1,52,52,70606.02,52,Trichy To Erode,Trichy,Erode,448,Trichy → Erode,-51,100.0,1357.808076923077,Very High
TRIP00086,R022,OP002,BUS,2026-10-13 22:00:00,2026-10-14 03:00:43.611418,45,67,211,170848.36,66,Bengaluru To Chennai,Bengaluru,Chennai,278,Bengaluru → Chennai,-166,100.0,809.7078672985781,Very High
TRIP00087,R004,OP018,BUS,2026-03-23 22:45:00,2026-03-24 11:59:27.342887,45,49,155,216619.35,48,Bengaluru To Madurai,Bengaluru,Madurai,618,Bengaluru → Madurai,-110,100.0,1397.544193548387,Very High
TRIP00088,R009,OP019,CAB,2026-11-12 16:45:00,2026-11-12 22:03:21.206007,4,59,150,142184.4,59,Chennai To Vellore,Chennai,Vellore,292,Chennai → Vellore,-146,100.0,947.896,Very High
TRIP00089,R008,OP011,CAB,2025-05-04 05:15:00,2025-05-04 11:16:19.647574,6,55,122,106567.35,55,Bengaluru To Erode,Bengaluru,Erode,284,Bengaluru → Erode,-116,100.0,873.5028688524591,Very High
TRIP00090,R018,OP002,AUTO,2025-07-21 19:30:00,2025-07-22 03:06:06.107890,3,59,122,168419.51,59,Trichy To Erode,Trichy,Erode,448,Trichy → Erode,-119,100.0,1380.487786885246,Very High
TRIP00091,R025,OP013,BUS,2025-03-10 10:45:00,2025-03-10 17:37:08.451747,40,57,197,222596.71,57,Vellore To Bengaluru,Vellore,Bengaluru,329,Vellore → Bengaluru,-157,100.0,1129.932538071066,Very High
TRIP00092,R030,OP020,AUTO,2025-07-27 09:30:00,2025-07-27 11:49:02.580357,3,55,102,41910.36,55,Thanjavur To Pondicherry,Thanjavur,Pondicherry,112,Thanjavur → Pondicherry,-99,100.0,410.88588235294117,Very High
TRIP00093,R005,OP015,BUS,2025-01-12 16:00:00,2025-01-12 22:44:07.293003,30,46,138,155780.45,45,Bengaluru To Trichy,Bengaluru,Trichy,389,Bengaluru → Trichy,-108,100.0,1128.8438405797103,Very High
TRIP00094,R023,OP003,CAB,2026-06-22 13:00:00,2026-06-22 20:19:18.026167,5,64,171,158490.55,64,Erode To Bengaluru,Erode,Bengaluru,385,Erode → Bengaluru,-166,100.0,926.8453216374269,Very High
TRIP00095,R029,OP007,AUTO,2025-09-07 20:15:00,2025-09-07 23:43:46.984082,3,52,103,47519.99,52,Chennai To Coimbatore,Chennai,Coimbatore,173,Chennai → Coimbatore,-100,100.0,461.3591262135922,Very High
TRIP00096,R008,OP014,AUTO,2026-05-05 20:15:00,2026-05-06 02:13:55.011877,3,39,81,70036.72,39,Bengaluru To Erode,Bengaluru,Erode,284,Bengaluru → Erode,-78,100.0,864.6508641975308,Very High
TRIP00097,R008,OP014,CAB,2026-07-21 22:00:00,2026-07-22 03:50:14.202524,6,48,112,97742.0,48,Bengaluru To Erode,Bengaluru,Erode,284,Bengaluru → Erode,-106,100.0,872.6964285714286,Very High
TRIP00098,R030,OP009,BUS,2025-05-29 07:45:00,2025-05-29 09:41:11.603461,40,53,166,67704.21,52,Thanjavur To Pondicherry,Thanjavur,Pondicherry,112,Thanjavur → Pondicherry,-126,100.0,407.856686746988,Very High
TRIP00099,R028,OP018,BIKE,2025-09-10 18:30:00,2025-09-10 22:02:09.358261,1,49,49,41386.65,49,Bengaluru To Coimbatore,Bengaluru,Coimbatore,242,Bengaluru → Coimbatore,-48,100.0,844.6255102040817,Very High
TRIP00100,R016,OP004,BIKE,2026-02-21 06:45:00,2026-02-21 18:06:05.828884,1,60,60,85719.67,59,Pondicherry To Tirunelveli,Pondicherry,Tirunelveli,523,Pondicherry → Tirunelveli,-59,100.0,1428.6611666666665,Very High
TRIP00101,R027,OP001,BIKE,2026-02-09 05:15:00,2026-02-09 14:56:38.060520,1,50,50,61676.86,50,Tirunelveli To Madurai,Tirunelveli,Madurai,599,Tirunelveli → Madurai,-49,100.0,1233.5372,Very High
TRIP00102,R026,OP002,CAB,2026-02-05 19:15:00,2026-02-06 03:49:09.775397,5,49,133,234546.37,48,Vellore To Pondicherry,Vellore,Pondicherry,546,Vellore → Pondicherry,-128,100.0,1763.5065413533835,Very High
TRIP00103,R008,OP003,CAB,2026-09-22 21:45:00,2026-09-23 02:23:39.262132,4,58,153,131700.47,58,Bengaluru To Erode,Bengaluru,Erode,284,Bengaluru → Erode,-149,100.0,860.7873856209151,Very High
TRIP00104,R024,OP014,BUS,2026-09-06 21:30:00,2026-09-07 06:58:21.631680,50,46,136,194592.52,46,Madurai To Thanjavur,Madurai,Thanjavur,544,Madurai → Thanjavur,-86,100.0,1430.8273529411763,Very High
TRIP00105,R017,OP012,BUS,2026-09-07 05:45:00,2026-09-07 12:39:04.427950,40,50,172,112103.46,50,Coimbatore To Tirunelveli,Coimbatore,Tirunelveli,322,Coimbatore → Tirunelveli,-132,100.0,651.7643023255814,Very High
TRIP00106,R027,OP002,BIKE,2026-10-19 06:30:00,2026-10-19 18:02:01.343400,1,56,56,68389.86,56,Tirunelveli To Madurai,Tirunelveli,Madurai,599,Tirunelveli → Madurai,-55,100.0,1221.2475,Very High
TRIP00107,R030,OP014,BIKE,2026-04-21 15:30:00,2026-04-21 17:11:57.608121,1,67,67,27531.71,67,Thanjavur To Pondicherry,Thanjavur,Pondicherry,112,Thanjavur → Pondicherry,-66,100.0,410.9210447761194,Very High
TRIP00108,R028,OP009,CAB,2025-11-12 20:45:00,2025-11-13 01:10:40.761167,5,35,85,71905.72,35,Bengaluru To Coimbatore,Bengaluru,Coimbatore,242,Bengaluru → Coimbatore,-80,100.0,845.9496470588235,Very High
TRIP00109,R007,OP006,BUS,2025-12-12 07:45:00,2025-12-12 16:55:00.547893,45,37,108,227381.44,37,Madurai To Erode,Madurai,Erode,636,Madurai → Erode,-63,100.0,2105.3837037037038,Very High
TRIP00110,R005,OP013,CAB,2026-10-07 13:30:00,2026-10-07 19:19:02.506108,5,59,142,161705.81,59,Bengaluru To Trichy,Bengaluru,Trichy,389,Bengaluru → Trichy,-137,100.0,1138.773309859155,Very High
TRIP00111,R028,OP018,BIKE,2025-11-28 12:15:00,2025-11-28 16:45:19.588387,1,51,51,42502.18,51,Bengaluru To Coimbatore,Bengaluru,Coimbatore,242,Bengaluru → Coimbatore,-50,100.0,833.3760784313725,Very High
TRIP00112,R029,OP001,AUTO,2025-07-16 15:45:00,2025-07-16 19:04:45.438871,3,46,92,42183.05,46,Chennai To Coimbatore,Chennai,Coimbatore,173,Chennai → Coimbatore,-89,100.0,458.5114130434783,Very High
TRIP00113,R015,OP003,BIKE,2026-11-17 11:15:00,2026-11-17 13:17:39.800574,1,64,64,27256.28,63,Tirunelveli To Coimbatore,Tirunelveli,Coimbatore,133,Tirunelveli → Coimbatore,-63,100.0,425.879375,Very High
TRIP00114,R002,OP007,AUTO,2025-07-14 16:30:00,2025-07-14 23:53:00.665493,3,53,105,112478.14,53,Thanjavur To Coimbatore,Thanjavur,Coimbatore,370,Thanjavur → Coimbatore,-102,100.0,1071.220380952381,Very High
TRIP00115,R016,OP009,BIKE,2026-08-19 21:15:00,2026-08-20 08:09:42.066078,1,66,66,92864.08,66,Pondicherry To Tirunelveli,Pondicherry,Tirunelveli,523,Pondicherry → Tirunelveli,-65,100.0,1407.0315151515151,Very High
