travel_day,bookings,tickets_sold,revenue,unique_customers
2025-07-19,61,125,105941.62,60
2025-11-18,54,125,57195.8,54
2026-02-21,125,125,197618.23,123
2025-10-05,47,124,131622.67,47
2026-05-06,56,123,77104.03,56
2026-06-24,56,123,175205.77,55
2025-05-04,55,122,106567.35,55
2025-07-21,59,122,168419.51,59
2025-08-14,50,122,171647.57,49
2026-04-06,47,122,252650.2,47
2026-01-04,51,122,106556.43,51
2025-01-26,59,122,124351.69,59
2025-11-06,50,121,43305.81,50
2025-10-18,45,120,207157.11000000002,45
2025-01-20,63,120,103747.33,62
2025-06-09,40,119,49970.88,40
2025-07-29,61,119,198162.97,61
2026-01-12,61,118,146789.62,61
2026-03-04,50,118,114807.95,49
2026-12-26,51,118,102379.99,50
2026-02-28,53,118,214104.6,53
2025-01-25,59,118,48476.28,58
2025-02-24,65,116,75337.75,65
2025-09-30,45,115,155853.80000000002,45
2026-09-08,46,114,233408.31,46
2026-02-02,42,114,160971.53,42
2026-08-17,57,114,127659.39,57
2025-10-28,49,113,96208.31999999999,49
2025-12-07,55,113,160952.05,55
2025-06-06,57,112,47553.34,57
2026-02-07,56,111,47653.64,56
2026-02-22,55,111,103874.02,55
2026-02-23,57,110,46266.38,56
2026-08-04,109,109,167155.24,105
2025-12-12,37,108,227381.44,37
2025-12-30,49,107,66170.21,49
2025-07-14,53,105,112478.14,53
2025-10-27,49,104,84655.55,49
2026-02-03,52,103,36602.9,52
2025-06-23,52,102,63269.2,52
2025-07-27,55,102,41910.36,55
2025-08-30,50,102,66384.91,49
2025-07-07,49,100,111809.32,49
2026-08-09,49,99,108695.51,49
2025-11-24,47,98,84022.81,47
2026-08-29,53,97,78748.76,53
2026-11-14,40,97,108958.2,40
2025-10-13,43,96,63468.32,43
2025-09-19,48,96,153248.11,47
2025-09-15,52,95,110092.08,51
2025-03-18,48,93,97922.91,48
2025-12-19,49,92,75485.79,49
2025-07-16,46,92,42183.05,46
2025-01-02,48,91,100711.97,48
2026-04-09,49,91,164947.37,49
2026-10-26,46,90,36727.59,46
2026-09-16,48,89,55486.64,48
2025-02-05,45,89,119817.73,45
2025-03-06,40,86,39033.9,40
2026-01-13,45,85,88184.43000000001,45
2025-11-12,35,85,71905.72,35
2026-05-05,39,81,70036.72,39
2026-12-13,40,75,127595.42,39
2025-01-04,73,73,67564.61,73
2026-08-19,66,66,92864.08,66
2026-11-17,64,64,27256.28,63
2025-05-10,64,64,42294.52,64
2025-10-15,64,64,42506.159999999996,64
2025-03-13,62,62,40827.4,61
2025-01-23,60,60,67227.99,60
2025-07-02,60,60,101119.7,60
2025-06-22,59,59,65012.19,59
2025-07-25,59,59,24841.34,58
2026-04-13,58,58,38242.54,58
2026-05-21,58,58,49890.45,57
2026-09-02,57,57,23686.26,57
2026-09-15,57,57,82711.66,56
2025-12-23,57,57,47295.71,57
2026-10-19,56,56,68389.86,56
2025-10-02,56,56,23196.59,56
2025-01-22,56,56,75215.81,56
2026-06-21,56,56,52084.54,56
2026-06-18,56,56,70374.98,55
2026-01-02,56,56,115775.28,56
2025-07-20,56,56,115358.68000000001,56
2025-07-30,55,55,61162.42,55
2025-08-05,55,55,98854.79,55
2026-07-19,55,55,34741.7,55
2026-01-11,54,54,67261.42,54
2026-04-22,53,53,95014.98,53
2026-05-29,53,53,43164.82,53
2025-10-10,52,52,53562.86,52
2025-09-29,52,52,42342.83,52
2026-05-24,52,52,70606.02,52
2025-11-28,51,51,42502.18,51
2025-08-26,50,50,56445.98,50
2025-09-10,49,49,41386.65,49
2026-06-08,49,49,60366.29,47
2026-05-26,49,49,55082.08,48
2025-11-02,47,47,21428.74,47
2026-09-20,47,47,54047.74,47
2026-12-28,46,46,43079.42,46
2025-04-05,46,46,28428.49,46
2026-01-28,45,45,64110.42,45
2026-10-16,45,45,20668.57,45
2025-05-22,43,43,34809.89,43
2026-02-01,42,42,46404.51,42
2025-10-14,35,35,36973.65,35
