cohort_month,cohort_index,active_customers,cohort_size,retention_rate
2026-04,8,3,70,4.285714285714286
2026-05,0,36,36,100.0
2026-05,1,3,36,8.333333333333332
2026-05,2,3,36,8.333333333333332
2026-05,3,4,36,11.11111111111111
2026-05,4,3,36,8.333333333333332
2026-05,5,7,36,19.444444444444446
2026-05,6,3,36,8.333333333333332
2026-06,0,42,42,100.0
2026-06,1,4,42,9.523809523809524
2026-06,2,4,42,9.523809523809524
2026-06,3,5,42,11.904761904761903
2026-06,4,6,42,14.285714285714285
2026-06,5,6,42,14.285714285714285
2026-07,0,49,49,100.0
2026-07,1,7,49,14.285714285714285
2026-07,2,11,49,22.448979591836736
2026-07,3,6,49,12.244897959183673
2026-07,4,2,49,4.081632653061225
2026-07,5,1,49,2.0408163265306123
2026-08,0,50,50,100.0
2026-08,1,7,50,14.000000000000002
2026-08,2,4,50,8.0
2026-08,3,3,50,6.0
2026-09,0,34,34,100.0
2026-09,1,4,34,11.76470588235294
2026-09,2,3,34,8.823529411764707
2026-10,0,23,23,100.0
2026-11,0,14,14,100.0
2026-12,0,2,2,100.0
