booking_day,bookings,tickets_sold,revenue
2025-06-03,48,97,113309.82
2025-06-04,33,74,76203.65
2025-06-05,27,55,61133.29
2025-06-06,37,78,90352.52
2025-06-07,37,78,86355.79
2025-06-08,39,86,88649.14
2025-06-09,29,61,61221.03
2025-06-10,40,88,103207.93000000001
2025-06-11,37,78,91496.5
2025-06-12,35,72,83995.15
2025-06-13,37,95,111159.79
2025-06-14,37,67,69549.58
2025-06-15,20,36,38404.590000000004
2025-06-16,30,65,64058.99
2025-06-17,32,73,92936.75
2025-06-18,23,50,54206.61
2025-06-19,24,42,44418.8
2025-06-20,29,54,51160.94
2025-06-21,28,70,70369.24
2025-06-22,38,78,94874.64
2025-06-23,32,68,82644.11
2025-06-24,24,53,64020.64
2025-06-25,31,65,71108.32
2025-06-26,35,80,87839.87
2025-06-27,25,54,56778.409999999996
2025-06-28,22,41,42494.89
2025-06-29,28,57,69272.75
2025-06-30,34,63,75229.72
2025-07-01,30,67,63041.29
2025-07-02,17,38,42242.96
2025-07-03,23,38,33122.68
2025-07-04,22,41,32740.88
2025-07-05,22,51,51965.05
2025-07-06,19,38,40907.48
2025-07-07,23,38,34172.86
2025-07-08,21,40,36627.47
2025-07-09,30,59,72661.68
2025-07-10,35,67,67365.77
2025-07-11,24,53,57217.48
2025-07-12,24,58,61989.65
2025-07-13,38,74,90342.70999999999
2025-07-14,23,48,56182.17
2025-07-15,33,57,60474.68
2025-07-16,22,50,62352.69
2025-07-17,25,45,51913.28
2025-07-18,26,47,58529.25
2025-07-19,26,45,52155.73
2025-07-20,29,44,44171.56
2025-07-21,20,42,38679.49
2025-07-22,29,48,54762.17
2025-07-23,23,40,44869.06
2025-07-24,29,59,55710.97
2025-07-25,27,56,68845.47
2025-07-26,23,38,41059.05
2025-07-27,23,40,44955.85
2025-07-28,18,32,40171.63
2025-07-29,11,31,42208.72
2025-07-30,16,45,52108.69
2025-07-31,18,35,39925.71
2025-08-01,20,35,35223.35
2025-08-02,20,43,48456.54
2025-08-03,18,41,44294.97
2025-08-04,26,52,64679.59
2025-08-05,20,39,41052.98
2025-08-06,22,45,58967.76
2025-08-07,31,55,62382.15
2025-08-08,19,43,48020.55
2025-08-09,16,27,36021.36
2025-08-10,13,24,34692.15
2025-08-11,33,75,79174.29
2025-08-12,22,45,57418.68
2025-08-13,24,44,44209.16
2025-08-14,28,67,63384.48
2025-08-15,25,40,45886.35
2025-08-16,20,43,46623.77
2025-08-17,29,52,61321.04
2025-08-18,26,47,52598.12
2025-08-19,25,45,39226.65
2025-08-20,27,53,56269.15
2025-08-21,22,38,39643.450000000004
2025-08-22,29,64,68850.51
2025-08-23,24,52,64476.05
2025-08-24,22,37,35660.26
2025-08-25,24,47,50357.06
2025-08-26,22,47,55005.6
2025-08-27,19,39,46764.49
2025-08-28,26,56,66584.43
2025-08-29,24,50,42791.25
2025-08-30,27,65,66303.72
2025-08-31,25,43,44720.53
2025-09-01,19,28,30923.42
2025-09-02,19,40,40365.13
2025-09-03,24,42,42964.71
2025-09-04,23,37,43149.63
2025-09-05,21,41,44631.95
2025-09-06,29,69,70701.62
2025-09-07,34,71,73459.08
2025-09-08,19,47,48082.96
2025-09-09,26,48,50520.65
2025-09-10,21,40,40109.23
2025-09-11,21,45,44132.99
2025-09-12,22,45,42423.16
2025-09-13,18,39,38335.83
2025-09-14,33,73,72504.48
2025-09-15,26,67,74713.82
2025-09-16,17,38,41821.28
2025-09-17,17,31,32665.71
2025-09-18,25,49,47181.57
2025-09-19,17,42,43667.45
2025-09-20,25,47,40348.99
2025-09-21,21,42,39911.5
2025-09-22,16,34,31131.36
2025-09-23,15,27,24213.33
2025-09-24,23,49,45454.39
2025-09-25,27,67,59474.57
2025-09-26,23,59,54169.85
2025-09-27,28,61,59596.62
2025-09-28,15,36,33770.39
2025-09-29,22,43,33782.409999999996
2025-09-30,15,28,17493.91
2025-10-01,24,47,51430.06
2025-10-02,19,31,29446.850000000002
2025-10-03,22,45,32880.3
2025-10-04,12,31,27919.260000000002
2025-10-05,16,30,33175.56
2025-10-06,25,62,43637.0
2025-10-07,20,44,32515.17
2025-10-08,23,50,44449.95
2025-10-09,13,24,17589.41
2025-10-10,28,60,48028.13
2025-10-11,21,46,38061.67
2025-10-12,20,47,35063.98
2025-10-13,19,50,58574.5
2025-10-14,19,35,39927.03
2025-10-15,17,44,42213.39
2025-10-16,16,46,43464.24
2025-10-17,23,53,53514.55
2025-10-18,20,48,49280.93
2025-10-19,9,22,20264.940000000002
2025-10-20,21,50,51435.82
2025-10-21,21,47,41637.25
2025-10-22,19,37,37279.47
2025-10-23,20,37,37236.83
2025-10-24,19,39,48632.56
2025-10-25,26,59,46455.81
2025-10-26,20,48,46041.29
2025-10-27,16,39,41245.85
2025-10-28,19,33,26476.05
2025-10-29,14,26,22735.04
2025-10-30,14,29,28083.83
2025-10-31,18,46,45889.12
2025-11-01,19,47,47434.53999999999
2025-11-02,15,36,39170.03
2025-11-03,14,25,21449.62
2025-11-04,13,32,31675.85
2025-11-05,18,38,31022.23
2025-11-06,23,45,45767.31
2025-11-07,17,33,23512.4
2025-11-08,9,24,24280.39
2025-11-09,20,48,50171.2
2025-11-10,15,30,31128.28
2025-11-11,19,43,47849.4
2025-11-12,14,35,38422.94
2025-11-13,15,33,27924.64
2025-11-14,19,40,41353.34
2025-11-15,24,41,49786.479999999996
2025-11-16,23,42,39479.68
2025-11-17,13,31,28089.77
2025-11-18,27,45,47452.61
2025-11-19,21,36,34395.1
2025-11-20,21,42,44659.57
2025-11-21,21,40,48531.7
2025-11-22,27,65,66049.79
2025-11-23,21,39,43965.51
2025-11-24,25,53,49566.75
2025-11-25,21,39,41198.51
2025-11-26,22,45,58344.28
2025-11-27,27,76,77127.61
2025-11-28,19,47,46226.86
2025-11-29,15,31,39201.729999999996
2025-11-30,24,61,55888.07
2025-12-01,28,51,48654.79
2025-12-02,25,49,47354.78
2025-12-03,29,52,56479.62
2025-12-04,28,63,52796.33
2025-12-05,33,69,66801.81
2025-12-06,18,40,38785.13
2025-12-07,24,48,53130.27
2025-12-08,24,55,63128.18
2025-12-09,30,54,55100.53
2025-12-10,17,35,38638.06
2025-12-11,29,68,76384.49
2025-12-12,26,51,61033.26
2025-12-13,24,50,49486.63
2025-12-14,21,55,64146.18
2025-12-15,19,34,41954.97
2025-12-16,16,30,29266.43
2025-12-17,23,52,52776.94
2025-12-18,22,54,50619.28
2025-12-19,18,40,45897.45
2025-12-20,27,59,60371.74
2025-12-21,25,45,46902.46
2025-12-22,17,33,28870.65
2025-12-23,28,57,56081.81
2025-12-24,24,37,37686.45
2025-12-25,34,77,76428.25
2025-12-26,19,49,50199.02
2025-12-27,22,55,56598.48
2025-12-28,27,49,54639.72
2025-12-29,22,40,43656.04
2025-12-30,26,50,50248.78
2025-12-31,26,59,65564.08
2026-01-01,26,42,45225.450000000004
2026-01-02,22,42,50771.36
2026-01-03,20,44,51607.67
2026-01-04,15,24,27173.45
2026-01-05,20,41,30576.41
2026-01-06,23,52,48272.85
2026-01-07,35,66,69489.42
2026-01-08,30,70,69642.19
2026-01-09,31,48,44031.729999999996
2026-01-10,27,51,54819.55
2026-01-11,24,44,46624.31
2026-01-12,17,38,41241.19
2026-01-13,30,70,75120.81
2026-01-14,23,49,61575.94
2026-01-15,31,67,76085.31
2026-01-16,31,58,75362.23
2026-01-17,22,47,57585.02
2026-01-18,19,37,47900.67
2026-01-19,33,72,79744.72
2026-01-20,25,53,47222.03
2026-01-21,25,60,61691.83
2026-01-22,27,49,50745.46
2026-01-23,25,59,62851.04
2026-01-24,29,58,60863.24
2026-01-25,20,47,40981.32
2026-01-26,34,72,80346.02
2026-01-27,21,50,46550.54
2026-01-28,26,60,64055.67
2026-01-29,27,65,60583.88
2026-01-30,21,43,44539.36
2026-01-31,25,53,44308.1
2026-02-01,22,51,53152.41
2026-02-02,15,45,40601.07
2026-02-03,25,66,64956.93
2026-02-04,20,49,53125.06
2026-02-05,17,39,52033.06
2026-02-06,15,28,27358.34
2026-02-07,21,40,39590.99
2026-02-08,21,45,46897.71
2026-02-09,22,49,54022.65
2026-02-10,19,38,41616.24
2026-02-11,22,47,53058.14
2026-02-12,23,61,61451.71
2026-02-13,22,47,46304.32
2026-02-14,20,43,40372.39
2026-02-15,12,23,26209.62
2026-02-16,12,34,39929.75
2026-02-17,21,51,60222.49
2026-02-18,31,62,73640.23
2026-02-19,26,46,40203.12
2026-02-20,19,53,50853.840000000004
2026-02-21,26,66,66339.53
2026-02-22,21,41,36870.38
2026-02-23,17,37,38450.41
2026-02-24,18,44,49844.35
2026-02-25,16,40,42039.87
2026-02-26,23,51,56361.76
2026-02-27,15,33,31288.95
2026-02-28,15,27,30974.2
2026-03-01,19,37,51821.43
2026-03-02,22,45,56695.67
2026-03-03,20,33,35876.53
2026-03-04,19,40,45112.049999999996
2026-03-05,16,32,29041.84
2026-03-06,27,60,69948.33
2026-03-07,19,55,56163.9
2026-03-08,20,48,50201.46
2026-03-09,26,49,48924.75
2026-03-10,23,65,59932.43
2026-03-11,15,30,28324.42
2026-03-12,8,16,16201.529999999999
2026-03-13,20,30,34236.18
2026-03-14,16,36,34775.14
2026-03-15,27,59,53277.98
2026-03-16,28,59,52048.31
2026-03-17,24,62,67864.81
2026-03-18,21,44,48234.29
2026-03-19,15,41,36595.04
2026-03-20,23,53,70220.77
2026-03-21,18,53,52791.450000000004
2026-03-22,24,54,54128.99
2026-03-23,17,35,29268.93
2026-03-24,23,46,45417.01
2026-03-25,22,44,50811.76
2026-03-26,18,27,35465.99
2026-03-27,19,26,30014.21
2026-03-28,21,35,33105.58
2026-03-29,15,27,24050.8
2026-03-30,14,35,27090.22
2026-03-31,27,46,49690.48
2026-04-01,33,43,43287.92
2026-04-02,25,41,44143.39
2026-04-03,23,42,53954.62
2026-04-04,21,42,40118.63
2026-04-05,25,40,47169.39
2026-04-06,26,48,43297.22
2026-04-07,22,35,39164.020000000004
2026-04-08,19,37,40876.47
2026-04-09,13,20,17683.25
2026-04-10,29,53,57491.25
2026-04-11,18,35,25745.95
2026-04-12,24,39,35680.22
2026-04-13,26,48,39948.56
2026-04-14,16,38,28658.09
2026-04-15,20,34,37015.5
2026-04-16,21,35,41138.52
2026-04-17,21,34,29225.97
2026-04-18,24,47,38158.54
2026-04-19,24,43,39348.85
2026-04-20,19,29,30222.73
2026-04-21,24,51,45764.92
2026-04-22,24,35,39151.79
2026-04-23,16,30,32950.62
2026-04-24,17,31,34535.22
2026-04-25,16,25,32917.05
2026-04-26,18,32,35064.28
2026-04-27,18,37,37760.83
2026-04-28,23,47,44232.090000000004
2026-04-29,21,44,47769.47
2026-04-30,23,39,36747.58
2026-05-01,24,48,43172.15
2026-05-02,19,39,27044.940000000002
2026-05-03,22,40,28495.46
2026-05-04,22,37,33030.54
2026-05-05,16,36,29583.1
2026-05-06,18,29,25169.51
2026-05-07,12,29,25503.83
2026-05-08,14,29,21680.09
2026-05-09,16,21,24141.510000000002
2026-05-10,16,27,26372.44
2026-05-11,19,31,30710.85
2026-05-12,19,31,32299.35
2026-05-13,15,24,20322.37
2026-05-14,11,15,15214.49
2026-05-15,18,28,22381.19
2026-05-16,15,25,19436.69
2026-05-17,13,24,25299.09
2026-05-18,7,11,10436.789999999999
2026-05-19,21,33,26853.760000000002
2026-05-20,20,31,29044.489999999998
2026-05-21,15,27,27128.03
2026-05-22,19,29,28510.4
2026-05-23,11,17,19160.95
2026-05-24,18,29,27498.14
2026-05-25,19,36,30076.899999999998
2026-05-26,16,27,25559.77
2026-05-27,22,34,26894.81
2026-05-28,16,38,30125.88
2026-05-29,23,51,46008.02
2026-05-30,8,10,6511.9
2026-05-31,18,46,49283.16
2026-06-01,15,34,31573.71
2026-06-02,15,30,24596.09
2026-06-03,21,37,39239.95
2026-06-04,10,14,12373.97
2026-06-05,25,47,55744.62
2026-06-06,29,64,66277.02
2026-06-07,20,31,33494.93
2026-06-08,18,35,37337.98
2026-06-09,20,41,37108.84
2026-06-10,22,47,41431.38
2026-06-11,18,39,27704.07
2026-06-12,13,23,29049.359999999997
2026-06-13,19,40,34914.71
2026-06-14,19,38,34285.36
2026-06-15,30,73,68939.94
2026-06-16,18,26,20637.52
2026-06-17,23,48,49626.1
2026-06-18,28,54,44142.6
2026-06-19,27,50,41834.39
2026-06-20,24,46,43296.18
2026-06-21,28,51,55604.42
2026-06-22,24,55,56732.18
2026-06-23,23,46,41594.17
2026-06-24,15,32,26369.51
2026-06-25,26,49,43695.45
2026-06-26,21,37,36855.21
2026-06-27,15,29,26359.010000000002
2026-06-28,14,24,23866.52
2026-06-29,14,31,25783.6
2026-06-30,22,40,45995.18
2026-07-01,23,43,39239.7
2026-07-02,20,39,37271.33
2026-07-03,28,52,57315.41
2026-07-04,25,44,49885.62
2026-07-05,17,28,30046.14
2026-07-06,26,51,56103.29
2026-07-07,15,27,34459.68
2026-07-08,21,41,39807.11
2026-07-09,30,67,69362.26
2026-07-10,24,64,64722.08
2026-07-11,37,81,78660.11
2026-07-12,34,89,83809.86
2026-07-13,18,49,57762.87
2026-07-14,36,84,90036.97
2026-07-15,34,79,82802.05
2026-07-16,19,40,43378.76
2026-07-17,24,47,47001.2
2026-07-18,22,45,42814.01
2026-07-19,26,60,57977.33
2026-07-20,19,47,52549.67
2026-07-21,21,53,48474.75
2026-07-22,17,36,44142.81
2026-07-23,27,69,71561.86
2026-07-24,24,55,49049.71
2026-07-25,26,49,49199.41
2026-07-26,30,63,66605.18000000001
2026-07-27,23,39,47004.7
2026-07-28,20,43,44686.78
2026-07-29,24,57,56555.729999999996
2026-07-30,30,64,72182.06
2026-07-31,24,56,65654.2
2026-08-01,27,49,59687.94
2026-08-02,28,61,67232.39
2026-08-03,26,57,58987.03
2026-08-04,24,46,43740.82
2026-08-05,24,47,55040.950000000004
2026-08-06,18,40,38337.34
2026-08-07,24,58,60169.56
2026-08-08,23,51,60012.13
2026-08-09,33,66,71042.15
2026-08-10,14,25,27010.78
2026-08-11,32,68,68882.36
2026-08-12,23,49,54741.08
2026-08-13,28,66,84629.45
2026-08-14,17,39,37653.78
2026-08-15,23,60,59166.35
2026-08-16,28,56,61840.88
2026-08-17,38,76,92770.69
2026-08-18,24,52,49568.979999999996
2026-08-19,16,31,26572.18
2026-08-20,30,60,62816.6
2026-08-21,14,29,33832.840000000004
2026-08-22,28,68,59170.56
2026-08-23,26,51,50205.42
2026-08-24,31,68,74059.2
2026-08-25,32,77,81666.45
2026-08-26,21,46,41683.24
2026-08-27,27,58,59907.34
2026-08-28,26,45,50114.1
2026-08-29,26,49,42691.32
2026-08-30,27,70,64869.95
2026-08-31,21,43,44679.36
2026-09-01,30,67,77706.78
2026-09-02,19,41,42962.87
2026-09-03,19,41,40943.51
2026-09-04,31,72,79294.95999999999
2026-09-05,23,53,58319.34
2026-09-06,17,35,44794.909999999996
2026-09-07,16,25,25648.35
2026-09-08,21,50,47838.43
2026-09-09,22,39,37230.090000000004
2026-09-10,18,38,42133.71
2026-09-11,27,64,78268.23
2026-09-12,16,31,31699.46
2026-09-13,25,46,52380.56
2026-09-14,23,45,42201.07
2026-09-15,25,46,46952.08
2026-09-16,19,40,35890.21
2026-09-17,16,39,37035.85
2026-09-18,18,43,47537.18
2026-09-19,23,49,54298.54
2026-09-20,19,50,56765.43
2026-09-21,19,44,40382.35
2026-09-22,14,25,21215.73
2026-09-23,29,67,63688.35
2026-09-24,14,32,31534.93
2026-09-25,13,30,27726.08
2026-09-26,20,42,47483.97
2026-09-27,25,48,48384.1
2026-09-28,25,55,49748.19
2026-09-29,23,55,56852.21
2026-09-30,20,49,49537.56
2026-10-01,16,31,32650.07
2026-10-02,21,46,46523.87
2026-10-03,15,32,28061.29
2026-10-04,23,49,53776.42
2026-10-05,15,27,22706.88
2026-10-06,22,44,40751.92
2026-10-07,17,34,25316.09
2026-10-08,20,39,39976.78
2026-10-09,23,60,54889.7
2026-10-10,17,35,34451.42
2026-10-11,15,33,34702.89
2026-10-12,24,54,52678.54
2026-10-13,19,39,40957.47
2026-10-14,16,35,28769.1
2026-10-15,12,26,30759.57
2026-10-16,19,41,41237.78
2026-10-17,17,33,41773.25
2026-10-18,15,43,33497.45
2026-10-19,18,44,41585.41
2026-10-20,23,50,57316.7
2026-10-21,14,38,38434.43
2026-10-22,16,42,36605.47
2026-10-23,15,35,37422.72
2026-10-24,14,29,23800.79
2026-10-25,12,40,41592.44
2026-10-26,12,22,21891.93
2026-10-27,13,41,44487.06
2026-10-28,12,24,28817.989999999998
2026-10-29,12,28,24127.14
2026-10-30,20,49,39535.58
2026-10-31,18,31,21200.53
2026-11-01,15,37,33908.729999999996
2026-11-02,17,44,43409.62
2026-11-03,19,39,35756.2
2026-11-04,21,45,42229.31
2026-11-05,14,27,27124.68
2026-11-06,8,18,17195.68
2026-11-07,14,32,25238.48
2026-11-08,11,28,20387.3
2026-11-09,12,28,22985.64
2026-11-10,14,26,28277.18
2026-11-11,11,25,25525.07
2026-11-12,9,14,10316.01
2026-11-13,9,20,15524.83
2026-11-14,12,27,24969.82
2026-11-15,11,24,20285.23
2026-11-16,7,13,12870.630000000001
2026-11-17,15,44,40368.73
2026-11-18,10,26,20952.25
2026-11-19,7,23,18550.579999999998
2026-11-20,11,39,32488.4
2026-11-21,9,21,17595.35
2026-11-22,10,21,22717.06
2026-11-23,7,13,11756.88
2026-11-24,8,24,18402.71
2026-11-25,7,15,10668.82
2026-11-26,10,32,23525.690000000002
2026-11-27,4,9,5925.52
2026-11-28,6,13,14933.300000000001
2026-11-29,9,17,14473.96
2026-11-30,6,13,12632.810000000001
2026-12-01,6,13,8115.05
2026-12-02,8,10,7078.03
2026-12-03,5,9,6146.87
2026-12-04,2,4,2932.03
2026-12-05,1,3,2401.14
2026-12-06,4,17,8518.04
2026-12-07,3,7,5063.61
2026-12-08,5,15,14582.720000000001
2026-12-09,3,6,5215.610000000001
2026-12-10,3,10,7711.9
2026-12-11,1,3,2697.09
2026-12-12,4,7,11107.32
2026-12-13,6,12,9624.15
2026-12-14,3,12,8366.74
2026-12-15,4,6,4871.49
2026-12-16,2,5,3985.1099999999997
2026-12-17,1,2,1874.0
2026-12-18,3,9,8179.720000000001
2026-12-19,2,9,7780.620000000001
2026-12-20,2,2,1924.31
2026-12-21,1,3,2450.4
2026-12-22,4,12,9822.279999999999
2026-12-23,2,3,2935.4700000000003
2026-12-24,4,10,8058.53
2026-12-25,4,10,8453.52
2026-12-26,2,3,2594.2599999999998
2026-12-27,1,1,1009.51
2026-12-28,1,4,3315.16
2026-12-29,3,7,6134.79
