travel_day,trips,total_capacity,seats_sold,available_seats,revenue,occupancy_percentage
2026-10-27,1,4,147,-143,212402.82,3675.0
2025-07-13,1,30,147,-117,60632.21,490.00000000000006
2026-01-03,1,4,146,-142,182292.89,3650.0
2026-09-10,1,30,146,-116,120026.1,486.66666666666663
2025-10-11,1,30,146,-116,62719.41,486.66666666666663
2025-06-03,1,40,146,-106,198176.59,365.0
2025-01-31,1,3,146,-143,51761.83,4866.666666666666
2026-09-14,1,5,144,-139,245611.64,2880.0
2026-05-22,2,4,143,-139,123682.15,3575.0
2026-11-09,1,5,142,-137,86974.85,2840.0
2026-10-07,1,5,142,-137,161705.81,2840.0
2025-05-23,1,3,141,-138,240686.72,4700.0
2025-11-07,1,4,141,-137,58867.3,3525.0
2026-01-23,1,6,141,-135,256243.82,2350.0
2025-06-16,1,5,141,-136,173484.07,2820.0
2025-11-26,1,3,140,-137,139561.12,4666.666666666666
2025-12-08,1,6,140,-134,91455.19,2333.333333333333
2025-03-11,1,4,139,-135,121054.65,3475.0
2026-08-26,1,5,139,-134,173926.76,2780.0
2026-08-03,1,5,138,-133,195968.91,2760.0
2026-10-15,1,6,138,-132,57892.75,2300.0
2025-08-15,1,4,138,-134,146801.76,3450.0
2025-01-12,1,30,138,-108,155780.45,459.99999999999994
2026-01-26,1,40,137,-97,57630.15,342.5
2026-09-06,1,50,136,-86,194592.52,272.0
2026-11-01,1,4,136,-132,112284.72,3400.0
2025-01-17,1,6,136,-130,126867.19,2266.666666666667
2025-03-27,1,3,135,-132,58406.48,4500.0
2026-08-16,1,50,135,-85,115489.28,270.0
2025-03-12,1,3,135,-132,157248.83,4500.0
2026-11-23,1,5,134,-129,188503.28,2680.0
2026-11-30,1,45,134,-89,83716.91,297.77777777777777
2025-03-22,1,45,133,-88,57108.89,295.55555555555554
2025-09-05,1,3,133,-130,150726.01,4433.333333333334
2025-08-10,1,6,133,-127,148007.45,2216.666666666667
2025-05-08,1,5,133,-128,192643.63,2660.0
2026-06-06,1,45,133,-88,175377.61,295.55555555555554
2026-02-05,1,5,133,-128,234546.37,2660.0
2026-11-25,1,3,132,-129,215001.25,4400.0
2026-05-18,1,45,132,-87,56358.98,293.3333333333333
2026-05-13,1,3,131,-128,186910.23,4366.666666666666
2026-12-30,1,50,131,-81,106234.8,262.0
2026-06-27,1,5,130,-125,53851.55,2600.0
2026-04-21,2,2,129,-127,133127.95,6450.0
2026-11-03,1,5,129,-124,263063.62,2580.0
2026-05-07,1,4,128,-124,84012.85,3200.0
2025-09-13,1,4,127,-123,180724.6,3175.0
2025-02-23,1,4,127,-123,179479.27,3175.0
2026-10-25,1,3,126,-123,168169.68,4200.0
2025-07-18,1,3,126,-123,85211.79,4200.0
2025-09-16,1,3,126,-123,119477.8,4200.0
2026-02-15,1,3,125,-122,101515.94,4166.666666666666
2025-07-19,1,3,125,-122,105941.62,4166.666666666666
2025-11-18,1,6,125,-119,57195.8,2083.333333333333
2026-02-21,2,2,125,-123,197618.22999999998,6250.0
2025-10-05,1,45,124,-79,131622.67,275.55555555555554
2026-05-06,1,4,123,-119,77104.03,3075.0
2026-06-24,1,4,123,-119,175205.77,3075.0
2025-05-04,1,6,122,-116,106567.35,2033.3333333333333
2025-07-21,1,3,122,-119,168419.51,4066.6666666666665
2025-08-14,1,4,122,-118,171647.57,3050.0
2026-04-06,1,30,122,-92,252650.2,406.66666666666663
2026-01-04,1,5,122,-117,106556.43,2440.0
2025-01-26,1,3,122,-119,124351.69,4066.6666666666665
2025-11-06,1,5,121,-116,43305.81,2420.0
2025-10-18,1,6,120,-114,207157.11000000002,2000.0
2025-01-20,1,3,120,-117,103747.33,4000.0
2025-06-09,1,50,119,-69,49970.88,238.0
2025-07-29,1,3,119,-116,198162.97,3966.6666666666665
2026-01-12,1,3,118,-115,146789.62,3933.3333333333335
2026-03-04,1,5,118,-113,114807.95,2360.0
2026-12-26,1,4,118,-114,102379.99,2950.0
2026-02-28,1,4,118,-114,214104.6,2950.0
2025-01-25,1,3,118,-115,48476.28,3933.3333333333335
2025-02-24,1,3,116,-113,75337.75,3866.6666666666665
2025-09-30,1,4,115,-111,155853.80000000002,2875.0
2026-09-08,1,4,114,-110,233408.31,2850.0
2026-02-02,1,5,114,-109,160971.53,2280.0
2026-08-17,1,3,114,-111,127659.39,3800.0
2025-10-28,1,5,113,-108,96208.31999999999,2260.0
2025-12-07,1,3,113,-110,160952.05,3766.6666666666665
2025-06-06,1,3,112,-109,47553.34,3733.3333333333335
2026-02-07,1,3,111,-108,47653.64,3700.0
2026-02-22,1,3,111,-108,103874.02,3700.0
2026-02-23,1,3,110,-107,46266.38,3666.6666666666665
2026-08-04,2,2,109,-107,167155.24,5450.0
2025-12-12,1,45,108,-63,227381.44,240.0
2025-12-30,1,3,107,-104,66170.21,3566.6666666666665
2025-07-14,1,3,105,-102,112478.14,3500.0
2025-10-27,1,3,104,-101,84655.55,3466.6666666666665
2026-02-03,1,3,103,-100,36602.9,3433.3333333333335
2025-06-23,1,3,102,-99,63269.2,3400.0
2025-07-27,1,3,102,-99,41910.36,3400.0
2025-08-30,1,3,102,-99,66384.91,3400.0
2025-07-07,1,3,100,-97,111809.32,3333.3333333333335
2026-08-09,1,3,99,-96,108695.51,3300.0
2025-11-24,1,3,98,-95,84022.81,3266.6666666666665
2026-08-29,1,3,97,-94,78748.76,3233.3333333333335
2026-11-14,1,6,97,-91,108958.2,1616.6666666666667
2025-10-13,1,6,96,-90,63468.32,1600.0
2025-09-19,1,3,96,-93,153248.11,3200.0
2025-09-15,1,3,95,-92,110092.08,3166.666666666667
2025-03-18,1,3,93,-90,97922.91,3100.0
2025-12-19,1,3,92,-89,75485.79,3066.666666666667
2025-07-16,1,3,92,-89,42183.05,3066.666666666667
2025-01-02,1,3,91,-88,100711.97,3033.333333333333
2026-04-09,1,3,91,-88,164947.37,3033.333333333333
2026-10-26,1,3,90,-87,36727.59,3000.0
2026-09-16,1,3,89,-86,55486.64,2966.666666666667
2025-02-05,1,3,89,-86,119817.73,2966.666666666667
2025-03-06,1,3,86,-83,39033.9,2866.666666666667
2026-01-13,1,3,85,-82,88184.43000000001,2833.333333333333
2025-11-12,1,5,85,-80,71905.72,1700.0
2026-05-05,1,3,81,-78,70036.72,2700.0
2026-12-13,1,3,75,-72,127595.42,2500.0
2025-01-04,1,1,73,-72,67564.61,7300.0
2026-08-19,1,1,66,-65,92864.08,6600.0
2026-11-17,1,1,64,-63,27256.28,6400.0
2025-05-10,1,1,64,-63,42294.52,6400.0
2025-10-15,1,1,64,-63,42506.159999999996,6400.0
2025-03-13,1,1,62,-61,40827.4,6200.0
2025-01-23,1,1,60,-59,67227.99,6000.0
2025-07-02,1,1,60,-59,101119.7,6000.0
2025-06-22,1,1,59,-58,65012.19,5900.0
2025-07-25,1,1,59,-58,24841.34,5900.0
2026-04-13,1,1,58,-57,38242.54,5800.0
2026-05-21,1,1,58,-57,49890.45,5800.0
2026-09-02,1,1,57,-56,23686.26,5700.0
2026-09-15,1,1,57,-56,82711.66,5700.0
2025-12-23,1,1,57,-56,47295.71,5700.0
2026-10-19,1,1,56,-55,68389.86,5600.0
2025-10-02,1,1,56,-55,23196.59,5600.0
2025-01-22,1,1,56,-55,75215.81,5600.0
2026-06-21,1,1,56,-55,52084.54,5600.0
2026-06-18,1,1,56,-55,70374.98,5600.0
2026-01-02,1,1,56,-55,115775.28,5600.0
2025-07-20,1,1,56,-55,115358.68000000001,5600.0
2025-07-30,1,1,55,-54,61162.42,5500.0
2025-08-05,1,1,55,-54,98854.79,5500.0
2026-07-19,1,1,55,-54,34741.7,5500.0
2026-01-11,1,1,54,-53,67261.42,5400.0
2026-04-22,1,1,53,-52,95014.98,5300.0
2026-05-29,1,1,53,-52,43164.82,5300.0
2025-10-10,1,1,52,-51,53562.86,5200.0
2025-09-29,1,1,52,-51,42342.83,5200.0
2026-05-24,1,1,52,-51,70606.02,5200.0
2025-11-28,1,1,51,-50,42502.18,5100.0
2025-08-26,1,1,50,-49,56445.98,5000.0
2025-09-10,1,1,49,-48,41386.65,4900.0
2026-06-08,1,1,49,-48,60366.29,4900.0
2026-05-26,1,1,49,-48,55082.08,4900.0
2025-11-02,1,1,47,-46,21428.74,4700.0
2026-09-20,1,1,47,-46,54047.74,4700.0
2026-12-28,1,1,46,-45,43079.42,4600.0
2025-04-05,1,1,46,-45,28428.49,4600.0
2026-01-28,1,1,45,-44,64110.42,4500.0
2026-10-16,1,1,45,-44,20668.57,4500.0
2025-05-22,1,1,43,-42,34809.89,4300.0
2026-02-01,1,1,42,-41,46404.51,4200.0
2025-10-14,1,1,35,-34,36973.65,3500.0
