trip_id,route_id,operator_id,vehicle_type,departure_datetime,arrival_datetime,total_seats
TRIP00024,R018,OP003,CAB,2025-09-30 22:30:00,2025-10-01 06:15:16.642362,4
TRIP00025,R024,OP004,BIKE,2026-09-15 13:30:00,2026-09-16 00:24:10.968024,1
TRIP00026,R013,OP019,AUTO,2026-02-07 08:30:00,2026-02-07 11:06:41.106815,3
TRIP00027,R022,OP010,BUS,2026-09-10 21:45:00,2026-09-11 03:17:50.167854,30
TRIP00028,R025,OP008,BIKE,2026-02-01 08:15:00,2026-02-01 14:49:46.310750,1
TRIP00029,R013,OP011,BUS,2026-12-08 11:30:00,2026-12-08 14:13:15.744649,40
TRIP00030,R003,OP009,BIKE,2026-08-04 13:15:00,2026-08-04 22:32:39.400558,1
TRIP00031,R030,OP019,CAB,2025-01-13 11:15:00,2025-01-13 12:56:02.341963,5
TRIP00032,R004,OP013,CAB,2026-02-02 15:45:00,2026-02-03 00:37:42.882535,5
TRIP00033,R017,OP010,CAB,2026-05-07 22:30:00,2026-05-08 03:27:48.186226,4
TRIP00034,R010,OP013,BUS,2026-09-24 08:00:00,2026-09-24 12:35:56.831900,30
TRIP00035,R025,OP003,CAB,2025-10-08 05:30:00,2025-10-08 11:21:42.325573,4
TRIP00036,R017,OP008,AUTO,2025-02-24 16:15:00,2025-02-24 21:30:58.430223,3
TRIP00037,R021,OP006,BUS,2026-01-17 07:30:00,2026-01-17 09:29:03.221036,45
TRIP00038,R018,OP008,AUTO,2025-02-05 08:30:00,2025-02-05 17:43:42.131423,3
TRIP00039,R011,OP007,AUTO,2025-07-29 08:00:00,2025-07-29 15:55:28.250232,3
TRIP00040,R007,OP004,CAB,2025-06-28 05:00:00,2025-06-28 18:29:17.462280,5
TRIP00041,R025,OP016,AUTO,2026-08-17 22:30:00,2026-08-18 04:51:26.217583,3
TRIP00042,R029,OP009,AUTO,2025-03-06 09:15:00,2025-03-06 12:57:36.510878,3
TRIP00043,R021,OP002,AUTO,2025-01-31 06:45:00,2025-01-31 08:43:15.224422,3
TRIP00044,R008,OP019,BUS,2026-02-27 10:00:00,2026-02-27 14:46:46.612444,30
TRIP00045,R017,OP005,BIKE,2025-10-15 14:45:00,2025-10-15 21:10:52.759616,1
TRIP00046,R030,OP002,AUTO,2025-01-25 13:15:00,2025-01-25 15:27:06.014036,3
TRIP00047,R025,OP002,AUTO,2025-01-02 06:45:00,2025-01-02 12:19:43.559440,3
TRIP00048,R005,OP016,BIKE,2025-08-26 06:30:00,2025-08-26 13:41:24.981208,1
TRIP00049,R006,OP009,BIKE,2026-04-13 20:15:00,2026-04-13 23:33:46.741856,1
TRIP00050,R014,OP012,BIKE,2026-07-19 22:15:00,2026-07-20 02:02:28.251341,1
TRIP00051,R011,OP011,BIKE,2026-02-21 10:45:00,2026-02-21 20:31:42.638431,1
TRIP00052,R010,OP009,AUTO,2025-10-27 09:45:00,2025-10-27 14:40:40.360395,3
TRIP00053,R008,OP010,CAB,2026-01-04 18:00:00,2026-01-04 22:43:44.735232,5
TRIP00054,R027,OP003,CAB,2026-01-03 19:45:00,2026-01-04 05:07:56.828925,4
TRIP00055,R027,OP015,CAB,2025-12-18 21:15:00,2025-12-19 07:14:18.090695,6
TRIP00056,R011,OP006,AUTO,2025-05-23 11:45:00,2025-05-23 23:02:14.658361,3
TRIP00057,R028,OP017,BUS,2025-04-25 21:00:00,2025-04-26 01:10:23.481650,45
TRIP00058,R022,OP018,BIKE,2026-07-18 10:15:00,2026-07-18 14:43:35.872675,1
TRIP00059,R017,OP001,BIKE,2026-05-16 08:30:00,2026-05-16 13:35:13.847169,1
TRIP00060,R024,OP020,BIKE,2026-07-16 17:45:00,2026-07-17 04:31:38.033162,1
TRIP00061,R009,OP010,AUTO,2026-02-22 08:15:00,2026-02-22 13:02:09.472702,3
TRIP00062,R015,OP020,BUS,2025-06-09 11:00:00,2025-06-09 12:58:31.286605,50
TRIP00063,R015,OP001,AUTO,2025-05-28 07:30:00,2025-05-28 10:06:19.805655,3
TRIP00064,R030,OP018,CAB,2025-11-07 11:00:00,2025-11-07 12:37:41.422343,4
TRIP00065,R023,OP016,CAB,2025-01-17 05:30:00,2025-01-17 13:30:58.834020,6
TRIP00066,R011,OP013,BUS,2025-03-15 07:30:00,2025-03-15 16:55:44.784553,50
TRIP00067,R007,OP014,BIKE,2026-01-02 17:00:00,2026-01-03 03:11:05.594182,1
TRIP00068,R010,OP002,AUTO,2025-12-18 17:30:00,2025-12-18 23:34:27.626718,3
TRIP00069,R012,OP019,BUS,2026-09-27 20:00:00,2026-09-28 01:58:11.519327,50
TRIP00070,R028,OP006,AUTO,2025-11-24 16:00:00,2025-11-24 20:42:31.212237,3
TRIP00071,R016,OP015,BIKE,2026-01-28 22:00:00,2026-01-29 07:24:43.089682,1
TRIP00072,R019,OP004,AUTO,2026-12-03 20:00:00,2026-12-04 02:05:30.604240,3
TRIP00073,R002,OP011,BUS,2025-03-30 20:30:00,2025-03-31 02:48:52.945942,40
TRIP00074,R020,OP019,BIKE,2026-10-09 08:45:00,2026-10-09 16:29:37.133240,1
TRIP00075,R005,OP012,AUTO,2025-09-05 20:00:00,2025-09-06 03:19:46.888434,3
TRIP00076,R001,OP003,CAB,2025-08-10 18:00:00,2025-08-11 02:29:05.315570,6
TRIP00077,R016,OP014,CAB,2026-11-23 05:45:00,2026-11-23 16:56:33.197668,5
TRIP00078,R019,OP012,BUS,2025-10-09 17:00:00,2025-10-09 23:28:04.580046,50
TRIP00079,R007,OP006,BUS,2025-06-28 19:30:00,2025-06-29 05:05:13.698738,45
TRIP00080,R007,OP014,CAB,2026-09-08 15:45:00,2026-09-09 05:04:17.909379,4
TRIP00081,R012,OP017,AUTO,2025-07-23 20:45:00,2025-07-24 03:58:22.386890,3
TRIP00082,R010,OP014,CAB,2026-11-01 10:45:00,2026-11-01 17:21:59.406263,4
TRIP00083,R027,OP014,BUS,2025-12-15 20:15:00,2025-12-16 05:46:52.610793,30
TRIP00084,R013,OP007,BUS,2025-06-18 09:15:00,2025-06-18 11:33:52.689090,50
TRIP00085,R018,OP002,BIKE,2026-05-24 16:45:00,2026-05-25 02:35:35.686588,1
TRIP00086,R022,OP002,BUS,2026-10-13 22:00:00,2026-10-14 03:00:43.611418,45
TRIP00087,R004,OP018,BUS,2026-03-23 22:45:00,2026-03-24 11:59:27.342887,45
TRIP00088,R009,OP019,CAB,2026-11-12 16:45:00,2026-11-12 22:03:21.206007,4
TRIP00089,R008,OP011,CAB,2025-05-04 05:15:00,2025-05-04 11:16:19.647574,6
TRIP00090,R018,OP002,AUTO,2025-07-21 19:30:00,2025-07-22 03:06:06.107890,3
TRIP00091,R025,OP013,BUS,2025-03-10 10:45:00,2025-03-10 17:37:08.451747,40
TRIP00092,R030,OP020,AUTO,2025-07-27 09:30:00,2025-07-27 11:49:02.580357,3
TRIP00093,R005,OP015,BUS,2025-01-12 16:00:00,2025-01-12 22:44:07.293003,30
TRIP00094,R023,OP003,CAB,2026-06-22 13:00:00,2026-06-22 20:19:18.026167,5
TRIP00095,R029,OP007,AUTO,2025-09-07 20:15:00,2025-09-07 23:43:46.984082,3
TRIP00096,R008,OP014,AUTO,2026-05-05 20:15:00,2026-05-06 02:13:55.011877,3
TRIP00097,R008,OP014,CAB,2026-07-21 22:00:00,2026-07-22 03:50:14.202524,6
TRIP00098,R030,OP009,BUS,2025-05-29 07:45:00,2025-05-29 09:41:11.603461,40
TRIP00099,R028,OP018,BIKE,2025-09-10 18:30:00,2025-09-10 22:02:09.358261,1
TRIP00100,R016,OP004,BIKE,2026-02-21 06:45:00,2026-02-21 18:06:05.828884,1
TRIP00101,R027,OP001,BIKE,2026-02-09 05:15:00,2026-02-09 14:56:38.060520,1
TRIP00102,R026,OP002,CAB,2026-02-05 19:15:00,2026-02-06 03:49:09.775397,5
TRIP00103,R008,OP003,CAB,2026-09-22 21:45:00,2026-09-23 02:23:39.262132,4
TRIP00104,R024,OP014,BUS,2026-09-06 21:30:00,2026-09-07 06:58:21.631680,50
TRIP00105,R017,OP012,BUS,2026-09-07 05:45:00,2026-09-07 12:39:04.427950,40
TRIP00106,R027,OP002,BIKE,2026-10-19 06:30:00,2026-10-19 18:02:01.343400,1
TRIP00107,R030,OP014,BIKE,2026-04-21 15:30:00,2026-04-21 17:11:57.608121,1
TRIP00108,R028,OP009,CAB,2025-11-12 20:45:00,2025-11-13 01:10:40.761167,5
TRIP00109,R007,OP006,BUS,2025-12-12 07:45:00,2025-12-12 16:55:00.547893,45
TRIP00110,R005,OP013,CAB,2026-10-07 13:30:00,2026-10-07 19:19:02.506108,5
TRIP00111,R028,OP018,BIKE,2025-11-28 12:15:00,2025-11-28 16:45:19.588387,1
TRIP00112,R029,OP001,AUTO,2025-07-16 15:45:00,2025-07-16 19:04:45.438871,3
TRIP00113,R015,OP003,BIKE,2026-11-17 11:15:00,2026-11-17 13:17:39.800574,1
TRIP00114,R002,OP007,AUTO,2025-07-14 16:30:00,2025-07-14 23:53:00.665493,3
TRIP00115,R016,OP009,BIKE,2026-08-19 21:15:00,2026-08-20 08:09:42.066078,1
TRIP00116,R029,OP006,BIKE,2026-10-16 12:15:00,2026-10-16 15:08:08.088662,1
TRIP00117,R025,OP007,AUTO,2025-07-07 20:30:00,2025-07-08 02:55:59.570243,3
TRIP00118,R002,OP015,BUS,2025-10-05 19:30:00,2025-10-06 03:06:14.457832,45
TRIP00119,R004,OP010,CAB,2025-05-08 17:45:00,2025-05-09 07:27:30.426984,5
TRIP00120,R008,OP013,AUTO,2026-05-22 19:30:00,2026-05-23 00:24:55.328740,3
TRIP00121,R001,OP001,AUTO,2025-07-23 13:00:00,2025-07-23 18:31:19.366028,3
TRIP00122,R030,OP017,BIKE,2026-09-02 08:45:00,2026-09-02 10:45:09.100751,1
TRIP00123,R027,OP007,BUS,2025-05-03 09:15:00,2025-05-03 21:42:36.859700,30
TRIP00124,R006,OP006,BIKE,2025-03-13 13:00:00,2025-03-13 16:03:56.875728,1
TRIP00125,R015,OP003,BUS,2025-05-11 08:45:00,2025-05-11 11:24:12.630731,30
TRIP00126,R006,OP014,CAB,2025-04-25 15:30:00,2025-04-25 18:57:16.497440,4
TRIP00127,R004,OP003,CAB,2025-08-14 13:30:00,2025-08-14 22:51:39.287527,4
TRIP00128,R026,OP007,AUTO,2026-07-21 15:15:00,2026-07-22 02:19:33.370500,3
TRIP00129,R025,OP002,BUS,2025-07-28 22:00:00,2025-07-29 02:46:39.658349,45
TRIP00130,R024,OP020,AUTO,2026-05-13 08:00:00,2026-05-13 18:38:03.779578,3
TRIP00131,R002,OP018,CAB,2025-08-15 12:45:00,2025-08-15 18:53:31.487659,4
TRIP00132,R002,OP016,BIKE,2025-10-14 08:00:00,2025-10-14 15:15:33.394437,1
TRIP00133,R021,OP019,BUS,2026-03-22 17:45:00,2026-03-22 19:56:07.336789,30
TRIP00134,R013,OP003,AUTO,2026-02-23 19:45:00,2026-02-23 22:45:53.238823,3
TRIP00135,R024,OP005,BIKE,2026-09-22 17:00:00,2026-09-23 02:17:38.840695,1
TRIP00136,R001,OP020,BIKE,2025-07-30 20:45:00,2025-07-31 02:40:53.205675,1
TRIP00137,R012,OP001,AUTO,2025-11-26 05:45:00,2025-11-26 12:09:49.330453,3
TRIP00138,R018,OP014,BUS,2026-03-29 11:30:00,2026-03-29 20:42:56.383619,50
TRIP00139,R025,OP018,BIKE,2025-06-22 17:15:00,2025-06-22 23:46:17.543081,1
TRIP00140,R004,OP004,CAB,2026-02-19 13:15:00,2026-02-19 23:04:45.424671,5
TRIP00141,R005,OP013,CAB,2026-09-07 20:00:00,2026-09-08 02:15:28.122379,6
TRIP00142,R014,OP001,BUS,2026-12-16 07:45:00,2026-12-16 10:56:57.388620,50
TRIP00143,R001,OP020,AUTO,2026-08-09 16:30:00,2026-08-09 23:32:33.845469,3
TRIP00144,R009,OP001,BIKE,2026-03-23 19:45:00,2026-03-24 01:55:53.966666,1
TRIP00145,R010,OP010,BIKE,2025-12-23 12:30:00,2025-12-23 18:07:51.442054,1
TRIP00146,R014,OP016,CAB,2026-05-06 10:15:00,2026-05-06 14:13:54.838719,4
TRIP00147,R013,OP011,BUS,2026-01-26 16:00:00,2026-01-26 18:17:46.456571,40
TRIP00148,R014,OP015,BIKE,2025-04-05 22:00:00,2025-04-06 01:55:16.331140,1
TRIP00149,R026,OP013,AUTO,2026-04-09 09:30:00,2026-04-09 20:44:53.727675,3
TRIP00150,R017,OP018,CAB,2025-10-13 10:15:00,2025-10-13 16:04:46.081737,6
TRIP00151,R014,OP005,CAB,2025-03-10 12:00:00,2025-03-10 15:19:15.663673,5
TRIP00152,R005,OP003,CAB,2026-07-16 20:45:00,2026-07-17 02:31:25.759257,4
TRIP00153,R007,OP010,BIKE,2025-07-20 07:00:00,2025-07-20 16:53:16.512504,1
TRIP00154,R014,OP009,BIKE,2025-07-03 22:00:00,2025-07-04 01:07:02.696513,1
TRIP00155,R009,OP005,BUS,2025-07-03 09:15:00,2025-07-03 14:57:34.870615,45
TRIP00156,R002,OP013,BUS,2025-06-25 13:00:00,2025-06-25 19:25:56.024577,50
TRIP00157,R018,OP001,CAB,2025-05-19 10:00:00,2025-05-19 17:53:51.070193,4
TRIP00158,R014,OP008,AUTO,2026-09-16 16:30:00,2026-09-16 20:03:13.464151,3
TRIP00159,R009,OP017,BUS,2025-06-29 08:15:00,2025-06-29 14:12:10.243467,30
TRIP00160,R001,OP001,AUTO,2026-01-22 09:00:00,2026-01-22 16:21:32.877481,3
TRIP00161,R003,OP017,AUTO,2026-11-25 17:45:00,2026-11-26 01:44:19.375935,3
TRIP00162,R020,OP015,AUTO,2026-10-25 21:30:00,2026-10-26 04:01:35.344487,3
TRIP00163,R005,OP009,AUTO,2025-09-15 21:45:00,2025-09-16 05:39:39.397721,3
TRIP00164,R006,OP013,BIKE,2025-05-10 06:15:00,2025-05-10 10:05:35.680473,1
TRIP00165,R029,OP004,BIKE,2025-11-02 08:45:00,2025-11-02 11:55:14.054973,1
TRIP00166,R005,OP012,BUS,2026-01-18 05:30:00,2026-01-18 12:18:10.849588,40
TRIP00167,R006,OP016,CAB,2026-03-22 09:45:00,2026-03-22 12:27:05.359237,6
TRIP00168,R021,OP014,CAB,2025-11-06 17:15:00,2025-11-06 19:30:55.215464,5
TRIP00169,R023,OP011,AUTO,2025-09-16 20:45:00,2025-09-17 03:32:42.251321,3
TRIP00170,R010,OP019,BUS,2026-01-16 11:45:00,2026-01-16 18:04:11.595004,40
TRIP00171,R017,OP015,BIKE,2025-05-30 08:30:00,2025-05-30 14:25:28.077197,1
TRIP00172,R026,OP015,BIKE,2026-04-22 17:45:00,2026-04-23 05:22:43.062232,1
TRIP00173,R014,OP013,AUTO,2025-12-30 21:45:00,2025-12-31 02:07:05.952756,3
TRIP00174,R008,OP012,CAB,2025-03-11 16:30:00,2025-03-11 22:11:54.885689,4
TRIP00175,R003,OP014,CAB,2025-04-14 09:30:00,2025-04-14 21:02:56.720287,6
TRIP00176,R027,OP013,BIKE,2026-06-18 16:00:00,2026-06-19 02:39:23.985965,1
TRIP00177,R005,OP014,BIKE,2026-09-20 19:30:00,2026-09-21 01:55:30.164385,1
TRIP00178,R027,OP007,AUTO,2026-01-12 06:00:00,2026-01-12 14:55:42.701024,3
TRIP00179,R015,OP006,BUS,2026-03-20 21:00:00,2026-03-20 23:09:25.415627,40
TRIP00180,R008,OP017,BIKE,2026-01-22 15:45:00,2026-01-22 20:14:15.169053,1
TRIP00181,R019,OP004,AUTO,2025-05-28 09:15:00,2025-05-28 16:15:52.621268,3
TRIP00182,R019,OP001,BIKE,2025-10-10 17:15:00,2025-10-11 00:27:35.924176,1
TRIP00183,R002,OP008,CAB,2025-01-13 09:15:00,2025-01-13 15:55:17.570949,5
TRIP00184,R004,OP004,CAB,2025-06-05 18:30:00,2025-06-06 03:21:31.901318,4
TRIP00185,R010,OP007,AUTO,2025-03-09 10:00:00,2025-03-09 15:54:23.537407,3
TRIP00186,R011,OP004,CAB,2025-03-09 12:45:00,2025-03-09 20:34:22.145749,6
TRIP00187,R008,OP018,BIKE,2026-05-21 08:00:00,2026-05-21 12:36:00.993020,1
TRIP00188,R019,OP011,BIKE,2026-09-24 16:45:00,2026-09-24 21:34:08.966783,1
TRIP00189,R021,OP015,BIKE,2026-08-14 22:30:00,2026-08-15 00:18:34.431522,1
TRIP00190,R004,OP003,CAB,2026-06-24 09:30:00,2026-06-24 18:59:06.411237,4
TRIP00191,R001,OP001,BIKE,2025-01-23 18:45:00,2025-01-24 02:09:44.830628,1
TRIP00192,R001,OP016,BIKE,2026-05-26 17:00:00,2026-05-26 22:34:52.289853,1
TRIP00193,R009,OP020,CAB,2025-09-21 08:15:00,2025-09-21 13:12:34.670299,4
TRIP00194,R011,OP006,BIKE,2026-04-21 09:00:00,2026-04-21 17:30:17.666200,1
TRIP00195,R024,OP017,BIKE,2026-02-27 17:45:00,2026-02-28 02:56:41.030186,1
TRIP00196,R018,OP013,BUS,2025-03-25 12:15:00,2025-03-25 19:38:44.206342,45
TRIP00197,R025,OP018,CAB,2025-02-28 18:45:00,2025-02-28 23:46:56.595748,5
TRIP00198,R026,OP006,BUS,2026-04-30 05:30:00,2026-04-30 13:28:40.109475,45
TRIP00199,R017,OP013,AUTO,2025-08-30 20:45:00,2025-08-31 01:28:18.092342,3
TRIP00200,R027,OP017,CAB,2026-08-26 11:45:00,2026-08-26 22:29:37.988489,5
TRIP00201,R009,OP013,BIKE,2025-09-07 10:30:00,2025-09-07 16:27:41.908783,1
TRIP00202,R001,OP002,BUS,2026-08-31 17:00:00,2026-09-01 01:04:53.054444,30
TRIP00203,R018,OP006,BUS,2025-06-03 22:45:00,2025-06-04 06:33:58.635612,40
TRIP00204,R015,OP012,CAB,2025-02-22 05:45:00,2025-02-22 08:26:24.597899,5
TRIP00205,R027,OP012,BIKE,2026-01-11 16:00:00,2026-01-12 05:01:07.312467,1
TRIP00206,R015,OP019,BUS,2025-12-05 08:00:00,2025-12-05 09:54:09.012479,30
TRIP00207,R022,OP001,AUTO,2026-09-22 05:15:00,2026-09-22 09:32:39.100269,3
TRIP00208,R015,OP015,BUS,2026-05-18 08:30:00,2026-05-18 10:43:22.105293,45
TRIP00209,R022,OP008,BIKE,2025-05-22 07:45:00,2025-05-22 12:22:17.244136,1
TRIP00210,R012,OP011,CAB,2025-06-11 21:00:00,2025-06-12 03:26:41.376002,6
TRIP00211,R011,OP006,CAB,2025-10-18 06:45:00,2025-10-18 14:45:30.878544,6
TRIP00212,R004,OP013,BIKE,2026-04-30 19:30:00,2026-05-01 04:29:00.680985,1
TRIP00213,R028,OP001,CAB,2025-10-28 17:45:00,2025-10-28 21:27:47.263635,5
TRIP00214,R025,OP015,CAB,2026-11-14 15:15:00,2026-11-14 21:41:55.776262,6
TRIP00215,R023,OP016,BUS,2025-06-08 06:00:00,2025-06-08 14:17:06.527019,40
TRIP00216,R017,OP006,BUS,2025-04-21 19:15:00,2025-04-22 01:51:26.673167,45
TRIP00217,R016,OP012,AUTO,2025-12-07 15:15:00,2025-12-07 23:33:21.846094,3
TRIP00218,R002,OP011,CAB,2026-02-24 08:30:00,2026-02-24 13:54:23.467324,5
TRIP00219,R007,OP013,CAB,2026-11-03 06:30:00,2026-11-03 19:30:09.379468,5
TRIP00220,R013,OP007,BIKE,2025-03-09 06:00:00,2025-03-09 08:13:34.777505,1
TRIP00221,R021,OP008,AUTO,2026-02-03 10:45:00,2026-02-03 12:41:37.999726,3
TRIP00222,R009,OP010,BIKE,2026-12-28 15:45:00,2026-12-28 21:47:33.804754,1
TRIP00223,R028,OP007,CAB,2026-12-26 18:30:00,2026-12-26 22:00:34.944628,4
TRIP00224,R027,OP013,BIKE,2025-06-18 13:45:00,2025-06-19 02:24:20.561927,1
TRIP00225,R030,OP012,AUTO,2025-06-01 06:15:00,2025-06-01 08:26:45.791753,3
TRIP00226,R027,OP018,BUS,2025-10-12 11:15:00,2025-10-12 22:03:11.365344,45
TRIP00227,R022,OP011,BUS,2026-12-30 15:30:00,2026-12-30 20:42:11.226861,50
TRIP00228,R010,OP020,BIKE,2026-05-29 11:15:00,2026-05-29 17:30:48.448643,1
TRIP00229,R008,OP007,BUS,2026-06-28 17:15:00,2026-06-28 22:19:58.496957,50
TRIP00230,R010,OP018,AUTO,2026-08-29 22:30:00,2026-08-30 03:42:58.923161,3
TRIP00231,R009,OP002,BUS,2025-02-15 14:30:00,2025-02-15 20:55:29.795548,50
TRIP00232,R012,OP008,CAB,2026-03-04 19:15:00,2026-03-05 00:41:06.011226,5
TRIP00233,R022,OP006,BIKE,2025-09-29 14:00:00,2025-09-29 18:14:58.446578,1
TRIP00234,R028,OP011,BUS,2026-02-09 13:00:00,2026-02-09 17:09:11.456560,40
TRIP00235,R007,OP010,BUS,2026-04-06 12:45:00,2026-04-07 02:51:56.467733,30
TRIP00236,R010,OP004,BIKE,2025-10-08 22:45:00,2025-10-09 05:28:00.449530,1
TRIP00237,R019,OP001,CAB,2026-09-07 06:45:00,2026-09-07 11:30:42.436758,6
TRIP00238,R014,OP008,CAB,2026-11-09 22:30:00,2026-11-10 01:37:00.018899,5
TRIP00239,R021,OP012,CAB,2026-07-29 15:15:00,2026-07-29 17:07:34.615241,4
TRIP00240,R021,OP005,CAB,2026-12-03 18:00:00,2026-12-03 20:04:00.899704,5
TRIP00241,R020,OP011,BIKE,2025-01-22 08:15:00,2025-01-22 14:25:50.522129,1
TRIP00242,R014,OP006,AUTO,2025-06-23 14:30:00,2025-06-23 18:07:43.873508,3
TRIP00243,R029,OP004,BIKE,2025-07-28 10:30:00,2025-07-28 14:08:48.132069,1
TRIP00244,R026,OP020,CAB,2025-11-13 22:00:00,2025-11-14 09:38:25.404540,4
TRIP00245,R023,OP009,BIKE,2025-01-04 12:00:00,2025-01-04 17:58:19.497914,1
TRIP00246,R005,OP002,AUTO,2025-07-03 08:45:00,2025-07-03 16:01:45.949961,3
TRIP00247,R027,OP005,BIKE,2026-06-08 08:45:00,2026-06-08 18:27:29.779856,1
TRIP00248,R015,OP007,AUTO,2025-03-27 16:00:00,2025-03-27 18:28:14.502492,3
TRIP00249,R030,OP018,BUS,2025-07-13 22:30:00,2025-07-14 00:16:26.529382,30
TRIP00250,R027,OP014,CAB,2025-06-16 09:30:00,2025-06-16 21:43:20.534364,5
TRIP00251,R008,OP007,AUTO,2026-10-09 16:00:00,2026-10-09 21:18:28.666174,3
TRIP00252,R029,OP008,CAB,2026-03-19 08:45:00,2026-03-19 12:11:19.494840,6
TRIP00253,R015,OP016,CAB,2026-10-15 20:00:00,2026-10-15 21:54:58.794320,6
TRIP00254,R010,OP004,BIKE,2026-05-22 22:45:00,2026-05-23 04:19:39.774114,1
TRIP00255,R011,OP018,BUS,2025-07-23 06:00:00,2025-07-23 15:25:40.112887,45
TRIP00256,R001,OP015,BUS,2025-01-18 16:30:00,2025-01-18 23:25:58.320625,45
TRIP00257,R006,OP017,BUS,2026-04-20 07:15:00,2026-04-20 09:58:26.954399,40
TRIP00258,R004,OP019,BUS,2026-04-30 20:30:00,2026-05-01 09:22:35.962414,45
TRIP00259,R026,OP014,BUS,2025-09-09 14:45:00,2025-09-10 01:10:57.118890,30
TRIP00260,R008,OP013,CAB,2025-11-04 09:30:00,2025-11-04 13:50:34.860247,5
TRIP00261,R003,OP010,BIKE,2025-12-15 18:00:00,2025-12-16 01:44:24.645032,1
TRIP00262,R002,OP007,AUTO,2025-03-18 20:30:00,2025-03-19 02:19:47.711341,3
TRIP00263,R010,OP002,BUS,2025-01-24 05:30:00,2025-01-24 11:14:01.485452,40
TRIP00264,R030,OP013,BIKE,2026-06-22 08:30:00,2026-06-22 10:50:29.088337,1
TRIP00265,R017,OP010,CAB,2025-12-08 15:00:00,2025-12-08 21:29:47.247369,6
TRIP00266,R015,OP014,BUS,2025-03-22 12:00:00,2025-03-22 14:33:43.145966,45
TRIP00267,R010,OP013,BUS,2026-07-20 14:00:00,2026-07-20 18:31:34.876038,45
TRIP00268,R004,OP010,BUS,2026-03-07 07:30:00,2026-03-07 19:26:51.081348,40
TRIP00269,R005,OP009,AUTO,2025-03-12 08:00:00,2025-03-12 16:09:36.524546,3
TRIP00270,R014,OP009,BUS,2025-02-13 20:30:00,2025-02-14 00:08:40.647505,45
TRIP00271,R016,OP007,CAB,2025-06-12 22:15:00,2025-06-13 09:21:56.814407,4
TRIP00272,R024,OP011,CAB,2026-10-27 08:00:00,2026-10-27 17:35:04.452792,4
TRIP00273,R014,OP006,BUS,2026-11-30 21:15:00,2026-12-01 00:07:55.506858,45
TRIP00274,R015,OP008,BUS,2026-08-14 11:45:00,2026-08-14 14:00:58.244832,50
TRIP00275,R026,OP020,BIKE,2025-08-05 17:15:00,2025-08-06 01:34:11.710454,1
TRIP00276,R010,OP003,AUTO,2025-12-19 09:45:00,2025-12-19 14:08:54.322263,3
TRIP00277,R008,OP011,BUS,2026-08-16 14:30:00,2026-08-16 20:02:38.705581,50
TRIP00278,R003,OP018,AUTO,2025-09-19 20:00:00,2025-09-20 03:43:57.698507,3
TRIP00279,R026,OP005,CAB,2026-08-28 11:30:00,2026-08-28 20:15:59.427300,6
TRIP00280,R008,OP001,BUS,2026-08-18 08:15:00,2026-08-18 14:07:42.788260,40
TRIP00281,R004,OP011,CAB,2025-09-13 06:00:00,2025-09-13 15:57:05.103805,4
