booking_id,customer_id,trip_id,booking_date,travel_date,seat_count,ticket_price,total_amount,payment_method,booking_status
BOOK000020,CUST02140,TRIP00266,2025-02-09,2025-03-22,5,367.17,1835.85,CARD,CONFIRMED
BOOK000021,CUST02166,TRIP00056,2025-03-31,2025-05-23,1,1558.08,1558.08,CARD,CONFIRMED
BOOK000022,CUST03761,TRIP00167,2026-03-09,2026-03-22,2,605.01,1210.02,UPI,CONFIRMED
BOOK000023,CUST00026,TRIP00227,2026-11-17,2026-12-30,4,755.75,3023.0,UPI,CONFIRMED
BOOK000024,CUST04769,TRIP00031,2024-11-27,2025-01-13,2,395.47,790.94,NETBANKING,CONFIRMED
BOOK000025,CUST04987,TRIP00221,2025-12-11,2026-02-03,3,353.31,1059.93,CARD,CONFIRMED
BOOK000026,CUST02995,TRIP00298,2025-08-08,2025-09-08,4,1145.58,4582.32,CASH,CONFIRMED
BOOK000027,CUST03412,TRIP00189,2026-08-02,2026-08-14,1,379.32,379.32,UPI,CANCELLED
BOOK000028,CUST04120,TRIP00209,2025-05-16,2025-05-22,1,881.99,881.99,CARD,CONFIRMED
BOOK000029,CUST01332,TRIP00115,2026-07-23,2026-08-19,1,1265.67,1265.67,CARD,CONFIRMED
BOOK000030,CUST02272,TRIP00103,2026-09-04,2026-09-22,3,964.97,2894.91,CASH,CONFIRMED
BOOK000031,CUST01288,TRIP00146,2026-04-01,2026-05-06,2,699.22,1398.44,CASH,CONFIRMED
BOOK000032,CUST00432,TRIP00271,2025-04-19,2025-06-12,4,1335.19,5340.76,CARD,CONFIRMED
BOOK000033,CUST03660,TRIP00127,2025-06-15,2025-08-14,1,1287.66,1287.66,CASH,CONFIRMED
BOOK000034,CUST02128,TRIP00086,2026-09-13,2026-10-13,1,907.84,907.84,CARD,CONFIRMED
BOOK000035,CUST02987,TRIP00138,2026-01-30,2026-03-29,1,1254.21,1254.21,UPI,CONFIRMED
BOOK000036,CUST00088,TRIP00116,2026-09-10,2026-10-16,1,455.31,455.31,CASH,CANCELLED
BOOK000037,CUST02955,TRIP00138,2026-02-11,2026-03-29,2,1185.51,2371.02,CARD,CONFIRMED
BOOK000038,CUST00308,TRIP00021,2026-05-27,2026-07-18,2,380.65,761.3,CASH,CONFIRMED
BOOK000039,CUST04449,TRIP00166,2025-12-14,2026-01-18,1,1060.92,1060.92,NETBANKING,CONFIRMED
BOOK000040,CUST04757,TRIP00125,2025-04-07,2025-05-11,5,375.94,1879.7,CASH,CONFIRMED
BOOK000041,CUST00959,TRIP00268,2026-02-26,2026-03-07,2,1226.33,2452.66,CARD,CONFIRMED
BOOK000042,CUST00174,TRIP00017,2025-06-03,2025-06-12,2,1781.88,3563.76,CARD,CONFIRMED
BOOK000043,CUST03137,TRIP00102,2025-12-27,2026-02-05,4,1590.34,6361.36,CASH,CONFIRMED
BOOK000044,CUST02677,TRIP00258,2026-04-24,2026-04-30,3,1394.27,4182.81,NETBANKING,CONFIRMED
BOOK000045,CUST04221,TRIP00140,2026-02-17,2026-02-19,1,1516.98,1516.98,UPI,CONFIRMED
BOOK000046,CUST03568,TRIP00130,2026-03-18,2026-05-13,3,1249.55,3748.65,CASH,CONFIRMED
BOOK000047,CUST00507,TRIP00241,2025-01-16,2025-01-22,1,1174.15,1174.15,UPI,CONFIRMED
BOOK000048,CUST01617,TRIP00197,2025-01-30,2025-02-28,3,977.36,2932.08,CASH,CONFIRMED
BOOK000049,CUST01555,TRIP00058,2026-07-16,2026-07-18,1,871.4,871.4,NETBANKING,PENDING
BOOK000050,CUST03574,TRIP00061,2026-01-28,2026-02-22,3,835.7,2507.1,NETBANKING,CANCELLED
BOOK000051,CUST02116,TRIP00195,2026-01-09,2026-02-27,1,1357.5,1357.5,CASH,CONFIRMED
BOOK000052,CUST03277,TRIP00257,2026-02-26,2026-04-20,2,681.2,1362.4,WALLET,CONFIRMED
BOOK000053,CUST01302,TRIP00011,2026-07-15,2026-08-03,4,1434.15,5736.6,CARD,CONFIRMED
BOOK000054,CUST00134,TRIP00055,2025-12-06,2025-12-18,3,1237.66,3712.98,NETBANKING,CONFIRMED
BOOK000055,CUST04425,TRIP00091,2025-02-13,2025-03-10,4,971.97,3887.88,UPI,CONFIRMED
BOOK000056,CUST04696,TRIP00111,2025-11-25,2025-11-28,1,875.31,875.31,NETBANKING,CONFIRMED
BOOK000057,CUST00103,TRIP00015,2025-12-20,2026-02-15,1,791.47,791.47,UPI,CONFIRMED
BOOK000058,CUST00794,TRIP00148,2025-03-12,2025-04-05,1,658.59,658.59,CARD,CONFIRMED
BOOK000059,CUST04366,TRIP00221,2026-01-08,2026-02-03,2,366.81,733.62,CARD,CONFIRMED
BOOK000060,CUST02934,TRIP00163,2025-07-25,2025-09-15,2,1149.35,2298.7,NETBANKING,PENDING
BOOK000061,CUST01958,TRIP00020,2024-12-08,2025-01-20,1,835.81,835.81,CASH,CANCELLED
BOOK000062,CUST01661,TRIP00009,2026-06-23,2026-07-18,3,995.59,2986.77,WALLET,CONFIRMED
BOOK000063,CUST01088,TRIP00009,2026-07-14,2026-07-18,2,1049.93,2099.86,CASH,CONFIRMED
BOOK000064,CUST04587,TRIP00059,2026-04-10,2026-05-16,1,638.71,638.71,UPI,CONFIRMED
BOOK000065,CUST00972,TRIP00204,2025-01-03,2025-02-22,2,379.86,759.72,UPI,CONFIRMED
BOOK000066,CUST03472,TRIP00150,2025-08-14,2025-10-13,1,713.51,713.51,CASH,CONFIRMED
BOOK000067,CUST04929,TRIP00084,2025-06-10,2025-06-18,5,475.94,2379.7,NETBANKING,CONFIRMED
BOOK000068,CUST04011,TRIP00124,2025-01-31,2025-03-13,1,706.35,706.35,CARD,PENDING
BOOK000069,CUST04420,TRIP00213,2025-09-22,2025-10-28,4,850.8,3403.2,CASH,CANCELLED
BOOK000070,CUST02389,TRIP00300,2025-07-05,2025-07-18,2,703.49,1406.98,UPI,CONFIRMED
BOOK000071,CUST01401,TRIP00235,2026-03-11,2026-04-06,3,1926.33,5778.99,CARD,CONFIRMED
BOOK000072,CUST00341,TRIP00203,2025-04-19,2025-06-03,4,1405.4,5621.6,CARD,CONFIRMED
BOOK000073,CUST04254,TRIP00089,2025-03-31,2025-05-04,3,846.1,2538.3,CARD,CONFIRMED
BOOK000074,CUST00485,TRIP00027,2026-07-15,2026-09-10,4,880.13,3520.52,CASH,CONFIRMED
BOOK000075,CUST03366,TRIP00239,2026-07-01,2026-07-29,2,319.57,639.14,NETBANKING,PENDING
BOOK000076,CUST00085,TRIP00253,2026-10-09,2026-10-15,4,470.72,1882.88,NETBANKING,CANCELLED
BOOK000077,CUST03509,TRIP00126,2025-03-15,2025-04-25,4,597.25,2389.0,NETBANKING,CANCELLED
BOOK000078,CUST02856,TRIP00206,2025-10-17,2025-12-05,3,469.85,1409.55,WALLET,CONFIRMED
BOOK000079,CUST02178,TRIP00206,2025-10-15,2025-12-05,2,452.21,904.42,CASH,CONFIRMED
BOOK000080,CUST02793,TRIP00097,2026-06-07,2026-07-21,2,817.84,1635.68,UPI,PENDING
BOOK000081,CUST03852,TRIP00238,2026-09-27,2026-11-09,1,613.66,613.66,NETBANKING,CONFIRMED
BOOK000082,CUST02260,TRIP00042,2025-01-09,2025-03-06,2,459.72,919.44,CASH,PENDING
BOOK000083,CUST02238,TRIP00231,2025-01-13,2025-02-15,1,1011.92,1011.92,NETBANKING,CONFIRMED
BOOK000084,CUST01167,TRIP00292,2025-07-09,2025-07-25,1,432.15,432.15,CARD,CONFIRMED
BOOK000085,CUST03783,TRIP00288,2026-02-25,2026-04-20,3,614.99,1844.97,WALLET,PENDING
BOOK000086,CUST04886,TRIP00243,2025-06-18,2025-07-28,1,501.43,501.43,NETBANKING,CONFIRMED
BOOK000087,CUST04471,TRIP00046,2025-01-22,2025-01-25,2,433.08,866.16,NETBANKING,CONFIRMED
BOOK000088,CUST03052,TRIP00040,2025-06-12,2025-06-28,2,2326.93,4653.86,NETBANKING,CONFIRMED
BOOK000089,CUST01456,TRIP00299,2025-01-08,2025-01-21,5,1151.52,5757.6,UPI,CONFIRMED
BOOK000090,CUST03909,TRIP00268,2026-02-09,2026-03-07,2,1533.58,3067.16,UPI,CONFIRMED
BOOK000091,CUST00724,TRIP00152,2026-07-09,2026-07-16,4,1154.11,4616.44,UPI,CONFIRMED
BOOK000092,CUST01485,TRIP00074,2026-09-04,2026-10-09,1,1161.08,1161.08,CARD,PENDING
BOOK000093,CUST01772,TRIP00022,2025-07-17,2025-08-24,1,475.15,475.15,CARD,CONFIRMED
BOOK000094,CUST00124,TRIP00072,2026-11-24,2026-12-03,2,1041.31,2082.62,UPI,PENDING
BOOK000095,CUST02920,TRIP00209,2025-03-26,2025-05-22,1,798.17,798.17,UPI,CONFIRMED
BOOK000096,CUST04841,TRIP00277,2026-08-10,2026-08-16,5,933.93,4669.65,NETBANKING,CONFIRMED
BOOK000097,CUST02030,TRIP00004,2025-05-07,2025-06-01,1,1344.29,1344.29,WALLET,CONFIRMED
BOOK000098,CUST03919,TRIP00005,2025-09-29,2025-11-18,1,393.99,393.99,UPI,CONFIRMED
BOOK000099,CUST03519,TRIP00272,2026-09-05,2026-10-27,1,1478.71,1478.71,WALLET,CONFIRMED
BOOK000100,CUST04875,TRIP00251,2026-10-01,2026-10-09,3,776.64,2329.92,UPI,CONFIRMED
BOOK000101,CUST03929,TRIP00104,2026-08-21,2026-09-06,4,1374.7,5498.8,WALLET,CONFIRMED
BOOK000102,CUST02615,TRIP00188,2026-09-07,2026-09-24,1,1065.67,1065.67,CASH,CANCELLED
BOOK000103,CUST02329,TRIP00183,2025-01-05,2025-01-13,4,1182.99,4731.96,CARD,CANCELLED
BOOK000104,CUST02461,TRIP00253,2026-09-19,2026-10-15,3,438.67,1316.01,UPI,CONFIRMED
BOOK000105,CUST03421,TRIP00293,2025-06-09,2025-06-14,3,1088.46,3265.38,CASH,CONFIRMED
BOOK000106,CUST02168,TRIP00057,2025-03-15,2025-04-25,5,799.34,3996.7,CARD,CONFIRMED
BOOK000107,CUST01726,TRIP00250,2025-06-01,2025-06-16,4,1247.73,4990.92,UPI,CONFIRMED
BOOK000108,CUST02058,TRIP00179,2026-02-10,2026-03-20,2,456.51,913.02,CARD,CONFIRMED
BOOK000109,CUST00169,TRIP00233,2025-08-07,2025-09-29,1,872.28,872.28,CASH,CANCELLED
BOOK000110,CUST02107,TRIP00182,2025-09-01,2025-10-10,1,1001.83,1001.83,WALLET,CONFIRMED
BOOK000111,CUST01434,TRIP00132,2025-09-26,2025-10-14,1,1007.36,1007.36,UPI,CONFIRMED
BOOK000112,CUST02873,TRIP00122,2026-08-16,2026-09-02,1,462.09,462.09,NETBANKING,CONFIRMED
BOOK000113,CUST00903,TRIP00184,2025-05-27,2025-06-05,4,1587.55,6350.2,NETBANKING,CONFIRMED
BOOK000114,CUST01392,TRIP00265,2025-10-28,2025-12-08,1,697.41,697.41,WALLET,CONFIRMED
BOOK000115,CUST03811,TRIP00287,2026-03-17,2026-05-16,4,416.79,1667.16,UPI,PENDING
BOOK000116,CUST03864,TRIP00023,2026-05-03,2026-06-06,1,1187.05,1187.05,UPI,CONFIRMED
BOOK000117,CUST02194,TRIP00030,2026-08-01,2026-08-04,1,1821.19,1821.19,UPI,CANCELLED
BOOK000118,CUST01402,TRIP00106,2026-09-15,2026-10-19,1,1373.23,1373.23,WALLET,CONFIRMED
BOOK000119,CUST04207,TRIP00016,2026-10-17,2026-12-13,3,1487.82,4463.46,UPI,CANCELLED
BOOK000120,CUST00254,TRIP00159,2025-06-04,2025-06-29,2,988.55,1977.1,CARD,CONFIRMED
BOOK000121,CUST03440,TRIP00298,2025-09-01,2025-09-08,2,1435.05,2870.1,NETBANKING,CONFIRMED
BOOK000122,CUST01810,TRIP00236,2025-09-15,2025-10-08,1,715.12,715.12,CASH,CONFIRMED
BOOK000123,CUST03054,TRIP00266,2025-03-10,2025-03-22,4,434.09,1736.36,WALLET,CONFIRMED
BOOK000124,CUST02196,TRIP00259,2025-08-12,2025-09-09,5,1886.89,9434.45,CARD,CONFIRMED
BOOK000125,CUST03360,TRIP00298,2025-08-05,2025-09-08,3,1253.29,3759.87,UPI,PENDING
BOOK000126,CUST02784,TRIP00282,2025-09-25,2025-10-11,3,473.64,1420.92,CASH,CONFIRMED
BOOK000127,CUST03796,TRIP00046,2024-12-27,2025-01-25,1,392.65,392.65,CASH,CONFIRMED
BOOK000128,CUST01903,TRIP00104,2026-07-20,2026-09-06,5,1293.32,6466.6,CARD,CONFIRMED
BOOK000129,CUST03079,TRIP00092,2025-06-15,2025-07-27,2,424.59,849.18,UPI,CONFIRMED
BOOK000130,CUST04210,TRIP00274,2026-07-02,2026-08-14,3,419.44,1258.32,CASH,CONFIRMED
BOOK000131,CUST03248,TRIP00196,2025-01-31,2025-03-25,1,1362.04,1362.04,CASH,PENDING
BOOK000132,CUST00209,TRIP00295,2025-08-17,2025-10-02,1,360.02,360.02,CASH,CONFIRMED
BOOK000133,CUST02606,TRIP00111,2025-11-16,2025-11-28,1,956.96,956.96,WALLET,CONFIRMED
BOOK000134,CUST03153,TRIP00236,2025-09-21,2025-10-08,1,839.51,839.51,CASH,CONFIRMED
BOOK000135,CUST04596,TRIP00183,2024-11-28,2025-01-13,4,1137.67,4550.68,WALLET,CONFIRMED
BOOK000136,CUST01700,TRIP00269,2025-01-15,2025-03-12,3,1078.9,3236.7,CASH,CONFIRMED
BOOK000137,CUST04677,TRIP00083,2025-10-27,2025-12-15,5,1324.12,6620.6,WALLET,CONFIRMED
BOOK000138,CUST02548,TRIP00005,2025-11-12,2025-11-18,3,411.59,1234.77,CASH,CONFIRMED
BOOK000139,CUST04155,TRIP00123,2025-04-08,2025-05-03,5,1148.16,5740.8,UPI,CONFIRMED
BOOK000140,CUST02554,TRIP00008,2025-12-25,2026-01-13,1,1139.39,1139.39,CASH,CANCELLED
BOOK000141,CUST02084,TRIP00151,2025-01-29,2025-03-10,2,699.16,1398.32,UPI,CANCELLED
BOOK000142,CUST01886,TRIP00036,2025-02-12,2025-02-24,1,608.14,608.14,WALLET,CONFIRMED
BOOK000143,CUST01612,TRIP00211,2025-09-22,2025-10-18,1,1641.71,1641.71,CASH,CONFIRMED
BOOK000144,CUST01501,TRIP00283,2026-01-28,2026-02-28,2,1759.43,3518.86,WALLET,CONFIRMED
BOOK000145,CUST04370,TRIP00279,2026-07-01,2026-08-28,1,1885.74,1885.74,CARD,CONFIRMED
BOOK000146,CUST03905,TRIP00231,2025-01-26,2025-02-15,5,1057.79,5288.95,CASH,CONFIRMED
BOOK000147,CUST03567,TRIP00075,2025-07-28,2025-09-05,1,1088.51,1088.51,NETBANKING,CONFIRMED
BOOK000148,CUST00796,TRIP00020,2024-12-09,2025-01-20,1,967.98,967.98,CASH,CONFIRMED
BOOK000149,CUST03082,TRIP00173,2025-11-11,2025-12-30,1,678.41,678.41,UPI,PENDING
BOOK000150,CUST04380,TRIP00143,2026-06-12,2026-08-09,2,1274.08,2548.16,UPI,CANCELLED
BOOK000151,CUST02867,TRIP00018,2025-02-13,2025-02-23,4,1360.5,5442.0,CARD,CONFIRMED
BOOK000152,CUST04807,TRIP00182,2025-09-14,2025-10-10,1,1026.02,1026.02,CARD,CONFIRMED
BOOK000153,CUST02299,TRIP00271,2025-05-15,2025-06-12,3,1259.59,3778.77,CASH,CONFIRMED
BOOK000154,CUST00400,TRIP00113,2026-10-23,2026-11-17,1,406.46,406.46,CARD,CONFIRMED
BOOK000155,CUST02208,TRIP00102,2026-02-04,2026-02-05,4,1972.11,7888.44,CARD,CONFIRMED
BOOK000156,CUST01522,TRIP00230,2026-07-10,2026-08-29,1,892.07,892.07,NETBANKING,CONFIRMED
BOOK000157,CUST02242,TRIP00297,2026-06-05,2026-08-04,1,1546.48,1546.48,CARD,CONFIRMED
BOOK000158,CUST02466,TRIP00275,2025-06-16,2025-08-05,1,1691.63,1691.63,CARD,CONFIRMED
BOOK000159,CUST03045,TRIP00256,2024-12-11,2025-01-18,3,1238.6,3715.8,UPI,CONFIRMED
BOOK000160,CUST00532,TRIP00132,2025-08-20,2025-10-14,1,915.02,915.02,WALLET,PENDING
BOOK000161,CUST01825,TRIP00209,2025-04-03,2025-05-22,1,755.31,755.31,CASH,CONFIRMED
BOOK000162,CUST02758,TRIP00189,2026-07-17,2026-08-14,1,370.66,370.66,WALLET,CANCELLED
BOOK000163,CUST01143,TRIP00085,2026-05-19,2026-05-24,1,1552.72,1552.72,WALLET,CONFIRMED
BOOK000164,CUST03648,TRIP00236,2025-09-05,2025-10-08,1,750.27,750.27,CARD,CONFIRMED
BOOK000165,CUST04022,TRIP00177,2026-07-29,2026-09-20,1,1182.15,1182.15,UPI,CANCELLED
BOOK000166,CUST00461,TRIP00063,2025-05-24,2025-05-28,1,410.17,410.17,NETBANKING,CONFIRMED
BOOK000167,CUST03962,TRIP00051,2026-02-15,2026-02-21,1,1586.42,1586.42,NETBANKING,CONFIRMED
BOOK000168,CUST02784,TRIP00107,2026-04-17,2026-04-21,1,405.63,405.63,CASH,CONFIRMED
BOOK000169,CUST00536,TRIP00106,2026-10-06,2026-10-19,1,1368.6,1368.6,WALLET,CANCELLED
BOOK000170,CUST00345,TRIP00009,2026-06-07,2026-07-18,1,998.34,998.34,NETBANKING,CONFIRMED
BOOK000171,CUST04242,TRIP00071,2026-01-10,2026-01-28,1,1228.36,1228.36,WALLET,CONFIRMED
BOOK000172,CUST03134,TRIP00167,2026-02-11,2026-03-22,3,641.54,1924.62,WALLET,CONFIRMED
BOOK000173,CUST01051,TRIP00200,2026-06-30,2026-08-26,2,1317.06,2634.12,WALLET,CONFIRMED
BOOK000174,CUST00634,TRIP00043,2024-12-19,2025-01-31,1,370.24,370.24,CASH,CONFIRMED
BOOK000175,CUST04060,TRIP00122,2026-07-12,2026-09-02,1,363.22,363.22,WALLET,CANCELLED
BOOK000176,CUST04834,TRIP00066,2025-01-14,2025-03-15,4,1889.94,7559.76,CASH,PENDING
BOOK000177,CUST02012,TRIP00146,2026-03-22,2026-05-06,1,666.59,666.59,WALLET,CONFIRMED
BOOK000178,CUST01865,TRIP00081,2025-05-24,2025-07-23,3,1034.68,3104.04,CARD,CONFIRMED
BOOK000179,CUST02541,TRIP00132,2025-10-01,2025-10-14,1,967.33,967.33,CARD,CONFIRMED
BOOK000180,CUST04332,TRIP00246,2025-05-04,2025-07-03,2,1099.01,2198.02,CARD,CANCELLED
BOOK000181,CUST04152,TRIP00001,2025-06-26,2025-07-19,2,756.02,1512.04,UPI,CONFIRMED
BOOK000182,CUST02510,TRIP00095,2025-08-08,2025-09-07,1,419.41,419.41,CARD,PENDING
BOOK000183,CUST01140,TRIP00225,2025-04-18,2025-06-01,1,361.64,361.64,WALLET,CONFIRMED
BOOK000184,CUST00856,TRIP00195,2026-02-19,2026-02-27,1,1327.29,1327.29,CASH,CONFIRMED
BOOK000185,CUST01398,TRIP00076,2025-06-28,2025-08-10,3,1007.79,3023.37,CASH,CONFIRMED
BOOK000186,CUST01295,TRIP00132,2025-09-21,2025-10-14,1,1019.68,1019.68,WALLET,CONFIRMED
BOOK000187,CUST02091,TRIP00104,2026-09-01,2026-09-06,5,1359.4,6797.0,UPI,CONFIRMED
BOOK000188,CUST00755,TRIP00114,2025-05-28,2025-07-14,1,1167.25,1167.25,CARD,CONFIRMED
BOOK000189,CUST04415,TRIP00256,2024-11-23,2025-01-18,4,1059.8,4239.2,UPI,CONFIRMED
BOOK000190,CUST02927,TRIP00223,2026-11-28,2026-12-26,3,798.84,2396.52,WALLET,CONFIRMED
BOOK000191,CUST03919,TRIP00011,2026-07-20,2026-08-03,3,1560.28,4680.84,CASH,CONFIRMED
BOOK000192,CUST04578,TRIP00080,2026-09-01,2026-09-08,2,2320.13,4640.26,WALLET,CONFIRMED
BOOK000193,CUST04566,TRIP00112,2025-06-03,2025-07-16,3,414.88,1244.64,UPI,CONFIRMED
BOOK000194,CUST01896,TRIP00101,2025-12-17,2026-02-09,1,1117.5,1117.5,WALLET,CONFIRMED
BOOK000195,CUST02831,TRIP00156,2025-04-28,2025-06-25,5,1068.09,5340.45,CARD,CONFIRMED
BOOK000196,CUST04801,TRIP00093,2024-12-26,2025-01-12,5,1286.46,6432.3,CASH,CONFIRMED
BOOK000197,CUST01275,TRIP00216,2025-03-17,2025-04-21,3,689.38,2068.14,CASH,CONFIRMED
BOOK000198,CUST04130,TRIP00276,2025-11-20,2025-12-19,1,880.5,880.5,CARD,CANCELLED
BOOK000199,CUST02880,TRIP00226,2025-08-17,2025-10-12,5,1146.33,5731.65,CASH,CONFIRMED
BOOK000200,CUST03559,TRIP00298,2025-08-27,2025-09-08,5,1402.27,7011.35,UPI,CONFIRMED
BOOK000201,CUST01822,TRIP00051,2026-01-30,2026-02-21,1,1555.52,1555.52,UPI,CONFIRMED
BOOK000202,CUST04255,TRIP00121,2025-06-21,2025-07-23,3,1154.58,3463.74,WALLET,CONFIRMED
BOOK000203,CUST00346,TRIP00063,2025-05-02,2025-05-28,3,477.24,1431.72,WALLET,CONFIRMED
BOOK000204,CUST03401,TRIP00186,2025-01-23,2025-03-09,1,1639.23,1639.23,CARD,CANCELLED
BOOK000205,CUST00770,TRIP00228,2026-04-01,2026-05-29,1,797.84,797.84,CARD,CONFIRMED
BOOK000206,CUST04879,TRIP00229,2026-05-03,2026-06-28,1,835.53,835.53,CASH,CONFIRMED
BOOK000207,CUST04791,TRIP00150,2025-10-03,2025-10-13,1,675.42,675.42,CARD,CONFIRMED
BOOK000208,CUST00993,TRIP00034,2026-08-14,2026-09-24,3,779.75,2339.25,WALLET,CONFIRMED
BOOK000209,CUST02037,TRIP00256,2024-12-05,2025-01-18,3,969.98,2909.94,WALLET,CONFIRMED
BOOK000210,CUST01749,TRIP00106,2026-08-20,2026-10-19,1,1097.5,1097.5,CASH,CONFIRMED
BOOK000211,CUST04629,TRIP00108,2025-11-02,2025-11-12,1,856.74,856.74,CARD,CONFIRMED
BOOK000212,CUST01505,TRIP00089,2025-04-29,2025-05-04,2,826.17,1652.34,WALLET,CONFIRMED
BOOK000213,CUST00018,TRIP00206,2025-10-17,2025-12-05,5,480.61,2403.05,CASH,CONFIRMED
BOOK000214,CUST03149,TRIP00031,2024-11-24,2025-01-13,3,380.03,1140.09,CASH,CONFIRMED
BOOK000215,CUST04169,TRIP00245,2024-12-16,2025-01-04,1,1002.42,1002.42,CARD,CANCELLED
BOOK000216,CUST02634,TRIP00248,2025-03-18,2025-03-27,1,467.97,467.97,CASH,CONFIRMED
BOOK000217,CUST00140,TRIP00035,2025-08-24,2025-10-08,2,1170.79,2341.58,CASH,CONFIRMED
BOOK000218,CUST03470,TRIP00173,2025-11-14,2025-12-30,3,574.92,1724.76,CARD,PENDING
BOOK000219,CUST02788,TRIP00076,2025-07-21,2025-08-10,3,1237.44,3712.32,CASH,CONFIRMED
BOOK000220,CUST00759,TRIP00178,2025-12-02,2026-01-12,1,1289.22,1289.22,WALLET,CONFIRMED
BOOK000221,CUST01492,TRIP00066,2025-02-02,2025-03-15,5,1689.75,8448.75,UPI,PENDING
BOOK000222,CUST00726,TRIP00236,2025-08-24,2025-10-08,1,856.36,856.36,CARD,CONFIRMED
BOOK000223,CUST03619,TRIP00097,2026-07-05,2026-07-21,4,856.02,3424.08,CASH,CONFIRMED
BOOK000224,CUST00463,TRIP00175,2025-02-23,2025-04-14,2,1397.45,2794.9,NETBANKING,CONFIRMED
BOOK000225,CUST00703,TRIP00133,2026-02-25,2026-03-22,1,408.05,408.05,WALLET,CONFIRMED
BOOK000226,CUST01763,TRIP00030,2026-07-03,2026-08-04,1,1667.23,1667.23,CASH,CONFIRMED
BOOK000227,CUST01214,TRIP00255,2025-07-13,2025-07-23,5,1722.06,8610.3,WALLET,CONFIRMED
BOOK000228,CUST04695,TRIP00119,2025-03-23,2025-05-08,2,1545.81,3091.62,CASH,CONFIRMED
BOOK000229,CUST00214,TRIP00111,2025-10-22,2025-11-28,1,777.29,777.29,UPI,PENDING
BOOK000230,CUST00077,TRIP00093,2024-11-22,2025-01-12,5,1086.04,5430.2,WALLET,CONFIRMED
BOOK000231,CUST04442,TRIP00210,2025-04-30,2025-06-11,2,1036.85,2073.7,NETBANKING,CONFIRMED
BOOK000232,CUST02677,TRIP00286,2025-05-26,2025-05-30,3,944.33,2832.99,NETBANKING,CONFIRMED
BOOK000233,CUST03982,TRIP00131,2025-06-27,2025-08-15,4,1021.18,4084.72,WALLET,CONFIRMED
BOOK000234,CUST03576,TRIP00252,2026-02-10,2026-03-19,1,396.6,396.6,NETBANKING,CONFIRMED
BOOK000235,CUST00394,TRIP00207,2026-07-26,2026-09-22,3,744.11,2232.33,NETBANKING,CONFIRMED
BOOK000236,CUST03680,TRIP00065,2024-12-30,2025-01-17,3,843.24,2529.72,WALLET,CONFIRMED
BOOK000237,CUST04237,TRIP00049,2026-03-06,2026-04-13,1,642.17,642.17,CASH,CONFIRMED
BOOK000238,CUST01481,TRIP00102,2026-01-17,2026-02-05,2,1883.86,3767.72,CARD,CONFIRMED
BOOK000239,CUST00598,TRIP00196,2025-02-09,2025-03-25,5,1452.11,7260.55,WALLET,CANCELLED
BOOK000240,CUST03970,TRIP00290,2025-04-01,2025-05-25,2,1243.92,2487.84,CASH,CONFIRMED
BOOK000241,CUST02294,TRIP00182,2025-08-11,2025-10-10,1,886.74,886.74,NETBANKING,CONFIRMED
